;Name;Age;Value
304;Daniel Amartey;25;€ 10.0M
305;Jonjoe Kenny;23;€ 10.0M
306;Ollie Watkins;24;€ 20.0M
307;Andros Townsend;29;€ 20.0M
308;Japhet Tanganga;21;€ 10.0M
309;Matty Cash;22;€ 10.0M
310;John Egan;27;€ 20.0M
311;Oriol Romeu;28;€ 10.0M
312;Mathew Ryan;28;€ 10.0M
313;Christian Fuchs;34;€ 1.0M
314;Ashley Barnes;30;€ 20.0M
315;Jay Rodriguez;31;€ 10.0M
316;Charlie Taylor;26;€ 10.0M
317;Harrison Reed;25;€ 10.0M
318;Max Kilman;23;€ 8.0M
319;Nampalys Mendy;28;€ 20.0M
320;Jairo Riedewald;23;€ 9.0M
321;Daniel Podence;24;€ 20.0M
322;Odion Ighalo;31;€ 10.0M
323;Ola Aina;23;€ 5.0M
324;George Baldock;27;€ 20.0M
325;Aaron Cresswell;30;€ 10.0M
326;Andy Carroll;31;€ 6.0M
327;Matty Longstaff;20;€ 10.0M
328;Nathaniel Clyne;29;€ 3.0M
329;Jamie Shackleton;20;€ 7.0M
330;Rayan Aït-Nouri;19;€ 3.0M
331;Enda Stevens;30;€ 20.0M
332;James McCarthy;29;€ 20.0M
333;Will Smallbone;20;€ 6.0M
334;Marek Rodák;23;€ 8.0M
335;Fabricio;32;€ 7.0M
336;Danny Ward;27;€ 9.0M
337;Bernardo;25;€ 8.0M
338;Trezeguet;25;€ 20.0M
339;Jean Michaël Séri;29;€ 8.0M
340;Solly March;26;€ 20.0M
341;Mark Noble;33;€ 4.0M
342;Scott Dann;33;€ 2.0M
343;Nathan Ferguson;19;€ 8.0M
344;Chris Wood;28;€ 20.0M
345;Paulo Gazzaniga;28;€ 7.0M
346;Saïd Benrahma;24;€ 10.0M
347;Wes Morgan;36;€ 1.0M
348;Filip Krovinovic;24;€ 3.0M
349;Rhian Brewster;20;€ 10.0M
350;Kieran Gibbs;30;€ 4.0M
351;Joe Rodon;22;€ 7.0M
352;Danny Drinkwater;30;€ 5.0M
353;Patrick Bamford;26;€ 30.0M
354;Kamil Grosicki;32;€ 5.0M
355;Robbie Brady;28;€ 7.0M
356;Matt Ritchie;30;€ 10.0M
357;Romain Saïss;30;€ 10.0M
358;Antonee Robinson;22;€ 8.0M
359;Mo Besic;27;€ 8.0M
360;John Lundstram;26;€ 10.0M
361;Luke Ayling;28;€ 20.0M
362;Ashley Westwood;30;€ 20.0M
363;Jack Stephens;26;€ 20.0M
364;James Tomkins;31;€ 10.0M
365;Matt Lowton;31;€ 7.0M
366;Kenny Tete;24;€ 10.0M
367;Terence Kongolo;26;€ 8.0M
368;David McGoldrick;32;€ 10.0M
369;Shane Long;33;€ 4.0M
370;Robert Snodgrass;32;€ 5.0M
371;Fabián Balbuena;28;€ 20.0M
372;Chris Basham;32;€ 10.0M
373;Craig Dawson;30;€ 7.0M
374;Isaac Hayden;25;€ 10.0M
375;Jake Livermore;30;€ 7.0M
376;Oliver Norwood;29;€ 20.0M
377;Andi Zeqiri;21;€ 7.0M
378;Jordan Ayew;28;€ 20.0M
379;Arthur Masuaku;26;€ 10.0M
380;Yannick Bolasie;31;€ 4.0M
381;Alireza Jahanbakhsh;26;€ 10.0M
382;Sam Johnstone;27;€ 8.0M
383;John Ruddy;33;€ 3.0M
384;Callum Robinson;25;€ 10.0M
385;James McArthur;32;€ 7.0M
386;José Izquierdo;28;€ 10.0M
387;Baba Rahman;26;€ 10.0M
388;Ryan Fredericks;27;€ 10.0M
389;Frédéric Guilbert;25;€ 9.0M
390;Ezgjan Alioski;28;€ 8.0M
391;Darren Randolph;33;€ 9.0M
392;Fabian Schär;28;€ 10.0M
393;Federico Fernández;31;€ 5.0M
394;Jeffrey Schlupp;27;€ 10.0M
395;Cédric Kipré;23;€ 6.0M
396;Romaine Sawyers;28;€ 10.0M
397;Björn Engels;25;€ 10.0M
398;Charly Musonda;23;€ 9.0M
399;Karl Darlow;29;€ 10.0M
400;Alex McCarthy;30;€ 10.0M
401;Scott Carson;34;€ 600K
402;Aaron Connolly;20;€ 9.0M
403;Dale Stephens;31;€ 10.0M
404;Patrick van Aanholt;29;€ 10.0M
405;Anwar El Ghazi;25;€ 9.0M
406;Jeff Hendrick;28;€ 10.0M
407;Oliver Burke;23;€ 9.0M
408;Marçal;31;€ 7.0M
409;Joe Bryan;26;€ 9.0M
410;Josh Brownhill;24;€ 9.0M
411;Aboubakar Kamara;25;€ 10.0M
412;Rúnar Alex Rúnarsson;25;€ 10.0M
413;Michael Verrips;23;€ 4.0M
414;Tyler Roberts;21;€ 10.0M
415;Jonas Lössl;31;€ 8.0M
416;Billy Sharp;34;€ 2.0M
417;Ben Osborn;25;€ 10.0M
418;Connor Wickham;27;€ 6.0M
419;Jayden Bogle;20;€ 5.0M
420;Ivan Cavaleiro;26;€ 10.0M
421;Kevin Long;29;€ 6.0M
422;Tom Cairney;29;€ 20.0M
423;Matthew Targett;24;€ 9.0M
424;Erik Pieters;31;€ 4.0M
425;Paul Dummett;28;€ 9.0M
426;Wayne Hennessey;33;€ 3.0M
427;Vladimir Coufal;27;€ 10.0M
428;Darnell Furlong;24;€ 8.0M
429;Joel Ward;30;€ 5.0M
430;Pascal Struijk;20;€ 3.0M
431;Semi Ajayi;26;€ 8.0M
432;Marvelous Nakamba;26;€ 8.0M
433;Michael Hector;28;€ 9.0M
434;Bobby Decordova-Reid;27;€ 10.0M
435;Kortney Hause;25;€ 8.0M
436;Charlie Austin;31;€ 4.0M
437;Joelinton;23;€ 9.0M
438;Matej Vydra;28;€ 8.0M
439;Jack Robinson;26;€ 9.0M
440;Adam Forshaw;28;€ 8.0M
441;Rolando Aarons;24;€ 4.0M
442;Ben Johnson;20;€ 4.0M
443;Conor Hourihane;29;€ 6.0M
444;DeAndre Yedlin;27;€ 8.0M
445;Lovre Kalinic;30;€ 6.0M
446;Dan Burn;28;€ 10.0M
447;Dwight Gayle;30;€ 6.0M
448;Liam Cooper;28;€ 10.0M
449;Tim Ream;32;€ 3.0M
450;Owen Otasowie;19;€ 2.0M
451;Denis Odoi;32;€ 5.0M
452;Martin Kelly;30;€ 6.0M
453;Ciaran Clark;30;€ 6.0M
454;Eldin Jakupovic;35;€ 1.0M
455;Rodrigo Vilca;21;€ 4.0M
456;Maxime Le Marchand;30;€ 5.0M
457;Javi Manquillo;26;€ 8.0M
458;Conor Gallagher;20;€ 8.0M
459;Jacob Murphy;25;€ 8.0M
460;Jed Steer;27;€ 6.0M
461;Mark Gillespie;28;€ 4.0M
462;Callum Slattery;21;€ 500K
463;Stefan Johansen;29;€ 7.0M
464;Matt Phillips;29;€ 10.0M
465;Christian Atsu;28;€ 6.0M
466;Yan Valery;21;€ 6.0M
467;Emil Krafth;25;€ 8.0M
468;Henri Saivet;29;€ 3.0M
469;Christian Walton;24;€ 1.0M
470;Dara O'Shea;21;€ 2.0M
471;Neeskens Kebano;28;€ 7.0M
472;Lee Grant;37;€ 300K
473;Kyle Edwards;22;€ 3.0M
474;Max Lowe;23;€ 2.0M
475;Jimmy Dunne;22;€ 900K
476;David Button;31;€ 4.0M
477;Gonçalo Cardoso;19;€ 1.0M
478;Michael Obafemi;20;€ 2.0M
479;Phil Bardsley;35;€ 500K
480;Ahmed Elmohamady;32;€ 2.0M
481;Henri Lansbury;29;€ 2.0M
482;Hal Robson-Kanu;31;€ 3.0M
483;Kevin McDonald;31;€ 4.0M
484;Gaetano Berardi;31;€ 3.0M
485;Kyle Bartley;29;€ 7.0M
486;Sam McQueen;25;€ 3.0M
487;Keinan Davis;22;€ 2.0M
488;Jack Rodwell;29;€ 400K
489;Bailey Peacock-Farrell;23;€ 700K
490;Simon Moore;30;€ 3.0M
491;Kean Bryan;23;€ 400K
492;Neil Taylor;31;€ 2.0M
493;Lee Peltier;33;€ 700K
494;Conor Townsend;27;€ 1.0M
495;Jonathan Bond;27;€ 1.0M
496;Jason Steele;29;€ 300K
497;Wes Foderingham;29;€ 2.0M
498;Meritan Shabani;21;€ 2.0M
499;Achraf Lazaar;28;€ 300K
500;Stephen Henderson;32;€ 300K
501;David Martin;34;€ 200K
502;Roderick Miranda;29;€ 400K
503;Will Norris;26;€ 500K
504;Matt Macey;25;€ 300K
505;Conor Shaughnessy;24;€ 300K
506;Ouasim Bouy;27;€ 200K
507;Matthew Pennington;25;€ 200K
508;Adrion Pajaziti;17;€ 10.0K
509;Gelson Martins;25;€ 20.0M
510;Wuilker Fariñez;22;€ 900K
511;Stevan Jovetic;30;€ 6.0M
512;Kasper Dolberg;22;€ 10.0M
513;Abdou Diallo;24;€ 9.0M
514;Kevin Volland;28;€ 20.0M
515;Mike Maignan;25;€ 10.0M
516;Hatem Ben Arfa;33;€ 1.0M
517;Dante;36;€ 400K
518;Jeff Reine-Adélaïde;22;€ 5.0M
519;Mattia De Sciglio;27;€ 10.0M
520;M’Baye Niang;25;€ 10.0M
521;Karl Toko Ekambi;27;€ 10.0M
522;Duje Caleta-Car;23;€ 9.0M
523;Thilo Kehrer;23;€ 9.0M
524;Youcef Atal;24;€ 10.0M
525;Téji Savanier;28;€ 10.0M
526;Alban Lafont;21;€ 4.0M
527;Daniele Rugani;26;€ 7.0M
528;Sergio Rico;26;€ 10.0M
529;Wahbi Khazri;29;€ 10.0M
530;Boubakary Soumaré;21;€ 6.0M
531;José Fonte;36;€ 800K
532;Álvaro;30;€ 10.0M
533;Zeki Çelik;23;€ 10.0M
534;Darío Benedetto;30;€ 10.0M
535;Henry Onyekuru;23;€ 9.0M
536;Jason Denayer;25;€ 10.0M
537;Morgan Sanson;25;€ 10.0M
538;Maxence Caqueret;20;€ 5.0M
539;Yacine Adli;20;€ 4.0M
540;Walter Benítez;27;€ 10.0M
541;Timothy Weah;20;€ 4.0M
542;Paul Bernardoni;23;€ 8.0M
543;Morgan Schneiderlin;30;€ 8.0M
544;Djibril Sidibé;28;€ 8.0M
545;Stéphane Ruffier;33;€ 2.0M
546;Imran Louza;21;€ 4.0M
547;Panagiotis Retsos;21;€ 3.0M
548;Mathieu Debuchy;35;€ 300K
549;Jonas Omlin;26;€ 8.0M
550;Valentin Rongier;25;€ 10.0M
551;Layvin Kurzawa;27;€ 8.0M
552;Martin Terrier;22;€ 9.0M
553;Jonathan Bamba;24;€ 9.0M
554;Burak Yilmaz;35;€ 900K
555;Caio Henrique;23;€ 7.0M
556;Léo Dubois;25;€ 10.0M
557;Benoît Costil;33;€ 6.0M
558;Hilton;42;€ 400K
559;Maxwel Cornet;23;€ 9.0M
560;Benjamin Lecomte;29;€ 8.0M
561;Jordan Amavi;26;€ 4.0M
562;Ruben Aguilar;27;€ 9.0M
563;Ludovic Blas;22;€ 5.0M
564;Nemanja Radonjic;24;€ 6.0M
565;Thiago Mendes;28;€ 7.0M
566;Danilo;24;€ 5.0M
567;Sofiane Boufal;26;€ 8.0M
568;Hiroki Sakai;30;€ 7.0M
569;Thomas Basila;21;€ 1.0M
570;Jordan Lotomba;21;€ 4.0M
571;Yusuf Yazici;23;€ 6.0M
572;Strahinja Pavlovic;19;€ 2.0M
573;Pape Cheikh Diop;22;€ 6.0M
574;Jimmy Briand;34;€ 500K
575;Pedro Mendes;29;€ 6.0M
576;Predrag Rajkovic;24;€ 4.0M
577;Pablo;29;€ 7.0M
578;Dalbert;26;€ 6.0M
579;Gautier Larsonneur;23;€ 4.0M
580;Luís Henrique;18;€ 2.0M
581;Roger Assalé;26;€ 9.0M
582;Samuel Kalu;22;€ 5.0M
583;Gaël Kakuta;29;€ 4.0M
584;Jérémy Doku;18;€ 6.0M
585;Faitout Maouassa;22;€ 6.0M
586;Marcelo;33;€ 2.0M
587;Séko Fofana;25;€ 7.0M
588;Terem Moffi;21;€ 3.0M
589;Benjamin André;29;€ 10.0M
590;Jean-Kévin Augustin;23;€ 5.0M
591;Benoît Badiashile;19;€ 6.0M
592;Andy Delort;28;€ 10.0M
593;Yuto Nagatomo;33;€ 400K
594;Abdoulaye Touré;26;€ 7.0M
595;Batista Mendy;20;€ 1.0M
596;Rayan Cherki;16;€ 700K
597;Xeka;25;€ 6.0M
598;Ryad Boudebouz;30;€ 6.0M
599;Ibrahim Amadou;27;€ 4.0M
600;Benjamin Bourigeaud;26;€ 7.0M
601;Rémi Oudin;23;€ 6.0M
602;Marcus Coco;24;€ 5.0M
603;Valère Germain;30;€ 3.0M
604;Alexis Claude-Maurice;22;€ 4.0M
605;Colin Dagba;21;€ 3.0M
606;Lamine Koné;31;€ 2.0M
607;Hamari Traoré;28;€ 7.0M
608;Moses Simon;25;€ 6.0M
609;Youssouf Sabaly;27;€ 3.0M
610;Domagoj Bradaric;20;€ 1.0M
611;Gaëtan Laborde;26;€ 8.0M
612;Adrien Hunou;26;€ 7.0M
613;Florent Mollet;28;€ 7.0M
614;Timothée Kolodziejczak;28;€ 5.0M
615;Sébastien Corchia;29;€ 5.0M
616;Axel Disasi;22;€ 5.0M
617;Tasos Donis;23;€ 8.0M
618;Luiz Araújo;24;€ 5.0M
619;Guillermo Maripán;26;€ 3.0M
620;Andrés Cubas;24;€ 4.0M
621;Youssef Aït Bennasser;24;€ 3.0M
622;Nicolas Cozza;21;€ 3.0M
623;Joris Chotard;18;€ 2.0M
624;Adil Aouchiche;18;€ 800K
625;Otávio;26;€ 6.0M
626;Matz Sels;28;€ 5.0M
627;Sanjin Prcic;26;€ 5.0M
628;Trevoh Chalobah;21;€ 4.0M
629;Serhou Guirassy;24;€ 6.0M
630;Nicolas De Préville;29;€ 5.0M
631;Clément Grenier;29;€ 4.0M
632;Hassane Kamara;26;€ 5.0M
633;Yohann Pelé;37;€ 300K
634;Fodé Ballo-Touré;23;€ 3.0M
635;Amine Gouiri;20;€ 4.0M
636;Stanley Nsoki;21;€ 2.0M
637;Mathias Pereira Lage;23;€ 4.0M
638;Andrei Girotto;28;€ 6.0M
639;Jean Lucas;22;€ 4.0M
640;Valon Berisha;27;€ 4.0M
641;Stéphane Bahoken;28;€ 5.0M
642;Denis Bouanga;25;€ 6.0M
643;Didier Ndong;26;€ 4.0M
644;Alexander Djiku;25;€ 5.0M
645;Hwang Ui-Jo;27;€ 6.0M
646;Nicolas Pallois;32;€ 3.0M
647;Anthony Briançon;25;€ 5.0M
648;Kenny Lala;28;€ 4.0M
649;Pierre Lees-Melou;27;€ 6.0M
650;Myziane Maolida;21;€ 4.0M
651;Bingourou Kamara;23;€ 3.0M
652;Julian Pollersbeck;25;€ 3.0M
653;Kostas Mitroglou;32;€ 1.0M
654;Vukasin Jovanovic;24;€ 3.0M
655;Miguel Trauco;27;€ 4.0M
656;Edson Mexer;31;€ 3.0M
657;Dario Maresic;20;€ 3.0M
658;Adrien Thomasson;26;€ 5.0M
659;Daniel Congré;35;€ 300K
660;Jean-Ricner Bellegarde;22;€ 3.0M
661;Pedro Chirivella;23;€ 3.0M
662;Róbson Bambu;22;€ 3.0M
663;Jean-Eudes Aholou;26;€ 5.0M
664;Romain Hamouma;33;€ 1.0M
665;Mathieu Cafaro;23;€ 4.0M
666;Jérémy Pied;31;€ 3.0M
667;Moise Kean;20;€ 10.0M
668;Leonardo Balerdi;21;€ 4.0M
669;Steve Mounié;25;€ 3.0M
670;Ghislain Konan;24;€ 4.0M
