	Player	Position	Comp	Age	Min	Goals	GoalsPer90	Asists	Asists	GoalAstPer90	TacklesWon	TklDribbling	Blocks	SuccPressRatio	CompletedPasses	PassCompRatio	TotDistPass	ProgDistPass	90s	SCA	SCA90	ShootPass	ShootDrib	GCA	GCA90	AssistPass	AssistDrib	Crosses	PenaltyWon	AerialWonRate	ShootOnTarget	ShootPer90	GoalPerShoot
36	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	2	1.35	0.10
37	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	0	5.63	0.00
38	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	2	1.35	0.10
39	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	0	5.63	0.00
40	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	2	1.35	0.10
41	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	0	5.63	0.00
42	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	2	1.35	0.10
43	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	0	5.63	0.00
44	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	2	1.35	0.10
45	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	0	5.63	0.00
46	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	2	1.35	0.10
47	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	0	5.63	0.00
48	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	2	1.35	0.10
49	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	0	5.63	0.00
50	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	2	1.35	0.10
51	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	0	5.63	0.00
52	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	2	1.35	0.10
53	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	0	5.63	0.00
54	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	18	10	12	21.2	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	2	1.35	0.10
55	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	0	5.63	0.00
56	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	2	1.35	0.10
57	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	0	5.63	0.00
58	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	2	1.35	0.10
59	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	0	5.63	0.00
60	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	2	1.35	0.10
61	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	0	5.63	0.00
62	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	2	1.35	0.10
63	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	0	5.63	0.00
64	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	2	1.35	0.10
65	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	0	5.63	0.00
66	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	2	1.35	0.10
67	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	0	5.63	0.00
68	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	2	1.35	0.10
69	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	0	5.63	0.00
70	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	1	0	1	27.3	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	2	1.35	0.10
71	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	0	5.63	0.00
72	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	2	1.35	0.10
73	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	0	5.63	0.00
74	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	2	1.35	0.10
75	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	0	5.63	0.00
76	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	2	1.35	0.10
77	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	0	5.63	0.00
78	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	2	1.35	0.10
79	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	0	5.63	0.00
80	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	2	1.35	0.10
81	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	0	5.63	0.00
82	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	2	1.35	0.10
83	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	0	5.63	0.00
84	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	2	1.35	0.10
85	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	0	5.63	0.00
86	Kevin Agudelo	MF,FW	it Serie A	20	666	1	0.14	1	0.14	0.27	18	10	12	21.2	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	2	1.35	0.10
87	Nayef Aguerd	DF	fr Ligue 1	23	957	1	0.09	0	0.00	0.09	11	6	21	26.4	487	85.1	11842	4422	10.6	3	0.28	3	0	1	0.09	1	0	0	0	75.9	1	0.47	0.20
88	Sergio Agüero	FW	eng Premier League	31	1,452	16	0.99	3	0.19	1.18	5	1	15	25.2	284	77.4	3746	786	16.1	51	3.16	28	9	8	0.50	4	1	8	2	12.5	25	4.52	0.19
89	Ruben Aguilar	DF	fr Ligue 1	26	1,072	0	0.00	2	0.17	0.17	28	18	11	35.0	666	84.2	11011	4090	11.9	24	2.01	22	0	3	0.25	3	0	52	0	51.6	3	0.59	0.00
90	Emmanuel Agyemang-Badu	MF,FW	it Serie A	28	230	0	0.00	0	0.00	0.00	1	0	4	13.3	91	87.5	1746	291	2.6	3	1.17	3	0	0	0.00	0	0	0	0	29.4	0	0.00	
91	Jean-Eudes Aholou	MF	fr Ligue 1	25	630	1	0.14	1	0.14	0.29	19	4	8	38.5	262	83.7	4836	830	7.0	12	1.71	7	1	1	0.14	0	0	2	0	54.5	4	1.43	0.10
92	Joseph Aidoo	DF	es La Liga	23	2,502	0	0.00	1	0.04	0.04	26	8	42	35.5	1073	87.7	23986	6718	27.8	13	0.47	9	1	2	0.07	2	0	1	0	54.1	1	0.36	0.00
93	Ola Aina	DF	it Serie A	22	2,079	0	0.00	2	0.09	0.09	28	24	70	29.0	863	74.4	15454	6409	23.1	46	1.99	25	4	7	0.30	3	0	70	0	53.1	2	0.52	0.00
94	Youssef Aït Bennasser	MF	fr Ligue 1	23	536	0	0.00	1	0.17	0.17	7	2	12	29.3	357	86.4	6250	1555	6.0	8	1.34	8	0	2	0.34	2	0	1	0	53.3	0	0.34	0.00
95	Rayan Aït Nouri	DF	fr Ligue 1	18	1,282	0	0.00	2	0.14	0.14	18	6	32	37.1	625	78.0	10424	4748	14.2	22	1.54	17	0	4	0.28	4	0	38	0	70.4	0	0.28	0.00
96	Albian Ajeti	MF,FW	eng Premier League	22	139	0	0.00	0	0.00	0.00	0	0	0	4.8	15	83.3	152	8	1.5	2	1.29	2	0	0	0.00	0	0	0	0	10.0	0	1.94	0.00
97	Ludovic Ajorque	FW	fr Ligue 1	25	2,058	8	0.35	4	0.17	0.52	14	3	11	26.8	371	72.9	5861	927	22.9	36	1.57	27	3	10	0.44	6	1	18	1	61.2	18	1.92	0.16
98	Manuel Akanji	DF	de Bundesliga	24	2,309	0	0.00	1	0.04	0.04	23	17	35	38.6	1767	91.6	36920	11998	25.7	10	0.39	9	0	3	0.12	3	0	0	0	56.9	2	0.39	0.00
99	Marley Aké	FW,MF	fr Ligue 1	18	99	0	0.00	0	0.00	0.00	2	1	0	26.7	25	86.2	414	68	1.1	4	3.64	3	1	1	0.91	1	0	1	0	0.0	0	2.73	0.00
100	Nathan Aké	DF	eng Premier League	24	2,503	2	0.07	2	0.07	0.14	11	7	59	29.7	1042	88.1	21690	7029	27.8	13	0.47	7	1	2	0.07	1	0	2	0	52.5	7	0.86	0.08
101	Chadrac Akolo	FW,MF	fr Ligue 1	24	544	2	0.33	1	0.17	0.50	13	3	8	30.7	172	83.5	2703	811	6.0	17	2.81	9	2	4	0.66	1	1	7	0	28.6	4	1.49	0.22
102	Kevin Akpoguma	DF	de Bundesliga	24	1,142	0	0.00	0	0.00	0.00	11	15	31	33.1	659	87.4	12650	3663	12.7	4	0.32	4	0	0	0.00	0	0	1	0	44.7	0	0.16	0.00
103	David Alaba	DF	de Bundesliga	27	2,498	1	0.04	1	0.04	0.07	17	10	40	38.5	2250	90.8	47127	15534	27.8	38	1.37	33	1	2	0.07	1	0	25	0	44.9	7	0.65	0.06
104	Sofiane Alakouch	DF	fr Ligue 1	21	1,400	0	0.00	0	0.00	0.00	30	25	23	31.2	664	82.0	11883	4858	15.6	25	1.61	22	1	3	0.19	3	0	27	0	28.6	4	0.64	0.00
105	Lucas Alario	FW	de Bundesliga	26	1,174	7	0.54	1	0.08	0.61	2	3	9	27.6	227	73.7	3353	375	13.0	30	2.30	21	2	3	0.23	1	0	5	0	40.0	18	3.60	0.13
106	Jordi Alba	DF	es La Liga	30	2,187	2	0.08	5	0.21	0.29	14	8	40	29.4	1864	87.1	30213	9511	24.3	45	1.85	44	0	5	0.21	5	0	79	0	41.7	3	0.29	0.29
107	Luis Alberto	MF	it Serie A	26	3,113	6	0.17	15	0.43	0.61	34	22	43	29.8	1792	79.2	33398	11824	34.6	206	5.96	135	16	29	0.84	22	0	44	0	34.8	27	2.86	0.05
108	Raúl Albiol	DF	es La Liga	33	3,237	1	0.03	0	0.00	0.03	33	18	40	30.6	1619	86.0	41783	12195	36.0	16	0.44	16	0	1	0.03	1	0	4	0	65.5	4	0.39	0.07
109	Marc Albrighton	MF,DF	eng Premier League	29	867	0	0.00	3	0.31	0.31	11	7	18	34.0	344	67.9	6189	2444	9.6	26	2.70	22	1	5	0.52	5	0	49	0	28.6	2	1.04	0.00
110	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	181	78.7	2575	372	10.3	16	1.56	14	0	3	0.29	2	0	3	1	30.8	8	2.44	0.16
111	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	181	78.7	2575	372	10.3	16	1.56	14	0	3	0.29	2	0	3	1	30.8	7	2.55	0.33
112	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	181	78.7	2575	372	10.3	16	1.56	14	0	3	0.29	2	0	2	0	21.1	8	2.44	0.16
113	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	181	78.7	2575	372	10.3	16	1.56	14	0	3	0.29	2	0	2	0	21.1	7	2.55	0.33
114	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	181	78.7	2575	372	5.9	14	2.38	10	2	3	0.51	2	0	3	1	30.8	8	2.44	0.16
115	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	181	78.7	2575	372	5.9	14	2.38	10	2	3	0.51	2	0	3	1	30.8	7	2.55	0.33
116	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	181	78.7	2575	372	5.9	14	2.38	10	2	3	0.51	2	0	2	0	21.1	8	2.44	0.16
117	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	181	78.7	2575	372	5.9	14	2.38	10	2	3	0.51	2	0	2	0	21.1	7	2.55	0.33
118	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	84	75.0	1133	186	10.3	16	1.56	14	0	3	0.29	2	0	3	1	30.8	8	2.44	0.16
119	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	84	75.0	1133	186	10.3	16	1.56	14	0	3	0.29	2	0	3	1	30.8	7	2.55	0.33
120	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	84	75.0	1133	186	10.3	16	1.56	14	0	3	0.29	2	0	2	0	21.1	8	2.44	0.16
121	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	84	75.0	1133	186	10.3	16	1.56	14	0	3	0.29	2	0	2	0	21.1	7	2.55	0.33
122	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	84	75.0	1133	186	5.9	14	2.38	10	2	3	0.51	2	0	3	1	30.8	8	2.44	0.16
123	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	84	75.0	1133	186	5.9	14	2.38	10	2	3	0.51	2	0	3	1	30.8	7	2.55	0.33
124	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	84	75.0	1133	186	5.9	14	2.38	10	2	3	0.51	2	0	2	0	21.1	8	2.44	0.16
125	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	10	29.5	84	75.0	1133	186	5.9	14	2.38	10	2	3	0.51	2	0	2	0	21.1	7	2.55	0.33
126	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	3	25.0	181	78.7	2575	372	10.3	16	1.56	14	0	3	0.29	2	0	3	1	30.8	8	2.44	0.16
127	Paco Alcácer	FW	es La Liga	25	924	4	0.39	1	0.10	0.49	2	1	3	25.0	181	78.7	2575	372	10.3	16	1.56	14	0	3	0.29	2	0	3	1	30.8	7	2.55	0.33
