;Player;ShootOnTarget;ShootPer90;GoalPerShoot
1315;Cheikhou Kouyaté;5;0.82;0.04
1316;Mateo Kovačić;5;0.91;0.05
1317;Dawid Kownacki;11;2.22;0.00
1318;İsmail Köybaşı;0;0.39;0.00
1319;Thomas Kraft;0;0.00;
1320;Emil Krafth;0;0.35;0.00
1321;Andrej Kramarić;20;2.53;0.25
1322;Christoph Kramer;0;0.61;0.00
1323;Tom Krauß;0;0.00;
1324;Ladislav Krejčí;1;0.26;0.33
1325;Rene Krhin;0;0.28;0.00
1326;Felix Kroos;3;1.19;0.00
1327;Toni Kroos;18;1.93;0.07
1328;Tim Krul;0;0.00;
1329;Rade Krunić;2;1.01;0.00
1330;Lukas Kübler;1;0.86;0.00
1331;Takefusa Kubo;25;2.10;0.07
1332;Juraj Kucka;10;2.10;0.09
1333;Dejan Kulusevski;24;1.81;0.15
1334;Marash Kumbulla;5;0.51;0.09
1335;Pierre Kunde;10;1.83;0.11
1336;Jasmin Kurtić;10;3.00;0.04
1337;Jasmin Kurtić;7;1.30;0.08
1338;Layvin Kurzawa;3;0.63;0.17
1339;Dereck Kutesa;2;0.68;0.25
1340;Ahmed Kutucu;5;1.99;0.20
1341;Enock Kwateng;2;0.37;0.00
1342;Antonino La Gumina;2;1.94;0.00
1343;Andrea La Mantia;8;3.25;0.10
1344;Gaëtan Laborde;21;2.53;0.10
1345;Alexandre Lacazette;26;2.55;0.19
1346;Riccardo Ladinetti;0;0.00;
1347;Alban Lafont;0;0.00;
1348;Víctor Laguardia;1;0.27;0.13
1349;Jack Lahne;1;10.00;1.00
1350;Konrad Laimer;6;0.43;0.20
1351;Stefan Lainer;5;0.53;0.06
1352;Diego Lainez;2;1.55;0.00
1353;Kenny Lala;5;0.70;0.00
1354;Adam Lallana;1;1.18;0.20
1355;Érik Lamela;8;2.15;0.07
1356;Tariq Lamptey;0;0.00;
1357;Tariq Lamptey;0;0.31;0.00
1358;Loïck Landre;2;0.48;0.20
1359;Michael Lang;2;0.83;0.00
1360;Sebastian Langkamp;1;1.15;0.00
1361;Henri Lansbury;0;0.92;0.00
1362;Manuel Lanzini;7;1.50;0.00
1363;Gianluca Lapadula;21;3.03;0.15
1364;Aymeric Laporte;1;0.33;0.25
1365;Danilo Larangeira;2;0.27;0.25
1366;Larra;1;1.08;0.00
1367;Gautier Larsonneur;0;0.00;
1368;Kevin Lasagna;34;2.91;0.12
1369;Jamaal Lascelles;2;0.39;0.11
1370;Paul Lasne;5;1.10;0.13
1371;Toni Lato;2;0.77;0.25
1372;Danny Latza;3;0.98;0.00
1373;Vincent Laurini;0;0.00;
1374;Wesley Lautoa;0;0.53;0.00
1375;Diego Laxalt;1;0.76;0.00
1376;Diego Laxalt;1;0.52;0.00
1377;Valentino Lazaro;1;0.75;0.25
1378;Valentino Lazaro;0;0.84;0.00
1379;Darko Lazović;17;1.00;0.08
1380;Manuel Lazzari;9;0.57;0.00
1381;Mickaël Le Bihan;0;1.80;0.00
1382;Robin Le Normand;2;0.45;0.08
1383;Damien Le Tallec;7;0.59;0.13
1384;James Lea Siliki;3;1.25;0.00
1385;Rafael Leão;15;2.88;0.13
1386;Adrien Lebeau;0;0.00;
1387;Mathew Leckie;0;0.92;0.00
1388;Benjamin Lecomte;0;0.00;
1389;Pierre Lees-Melou;21;2.12;0.09
1390;Jordan Lefort;1;0.32;0.00
1391;Wu Lei;15;2.36;0.09
1392;Toni Leistner;0;0.18;0.00
1393;Moritz Leitner;0;1.05;0.00
1394;Lucas Leiva;3;0.50;0.00
1395;Florian Lejeune;3;0.81;0.50
1396;Iñigo Lekue;0;0.43;0.00
1397;Nicolas Lemaître;0;0.00;
1398;Thomas Lemar;3;1.07;0.00
1399;Tim Lemperle;0;5.63;0.00
1400;Clément Lenglet;3;0.37;0.20
1401;Aaron Lennon;0;0.18;0.00
1402;Bernd Leno;0;0.00;
1403;Christopher Lenz;3;0.60;0.00
1404;Donovan Léon;0;0.00;
1405;Pedro León;14;1.80;0.03
1406;Sergio León;5;2.95;0.05
1407;Lukas Lerager;5;0.91;0.07
1408;Mehdi Léris;3;2.12;0.08
1409;Jefferson Lerma;2;1.00;0.03
1410;Karlo Letica;0;0.00;
1411;Robert Lewandowski;59;4.37;0.22
1412;Jamal Lewis;4;0.35;0.11
1413;Aaron Leya Iseka;8;2.90;0.04
1414;Stephan Lichtsteiner;0;0.13;0.00
1415;Dimitri Liénard;10;2.06;0.06
1416;Philipp Lienhart;2;0.35;0.00
1417;Matthijs de Ligt;9;0.66;0.22
1418;Isaac Lihadji;0;0.00;
1419;Lillo;0;0.46;0.00
1420;Anderson Lima;2;7.26;0.00
1421;Lucas Lima;1;0.67;0.00
1422;Anthony Limbombe;1;1.19;0.50
1423;Victor Lindelöf;1;0.17;0.17
1424;Karol Linetty;9;1.38;0.13
1425;Jesse Lingard;6;2.12;0.05
1426;Pol Lirola;8;0.78;0.00
1427;Diego Llorente;4;0.39;0.10
1428;Fernando Llorente;11;5.57;0.10
1429;Marcos Llorente;5;0.92;0.21
1430;Gautier Lloris;0;0.00;
1431;Hugo Lloris;0;0.00;
1432;Giovani Lo Celso;3;1.09;0.00
1433;Stanislav Lobotka;0;0.24;0.00
1434;Stanislav Lobotka;2;0.46;0.00
1435;Jürgen Locadia;10;3.06;0.17
1436;Jürgen Locadia;1;2.09;0.00
1437;Manuel Locatelli;6;1.15;0.00
1438;Renan Lodi;3;0.60;0.06
1439;Ruben Loftus-Cheek;0;1.73;0.00
1440;Enzo Loiodice;0;1.41;0.00
1441;Kevin Long;0;0.32;0.00
1442;Shane Long;13;2.13;0.06
1443;Matthew Longstaff;2;0.63;0.50
1444;Sean Longstaff;6;1.70;0.04
1445;Ademola Lookman;1;2.91;0.00
1446;Anthony Lopes;0;0.00;
1447;Rony Lopes;2;1.34;0.00
1448;Rony Lopes;0;2.25;0.00
1449;Adrián López;7;1.12;0.06
1450;David López;9;0.55;0.27
1451;Diego López;0;0.00;
1452;Javi López;0;0.00;
1453;Javi López;0;0.20;0.00
1454;Lluis López;0;0.60;0.00
1455;Maxime Lopez;2;0.89;0.00
1456;Pau López;0;0.00;
1457;Roberto López;0;0.00;
1458;Unai López;9;1.41;0.04
1459;Iker Losada;1;6.92;1.00
1460;Albert Lottin;0;0.00;
1461;Imran Louza;13;1.66;0.05
1462;Matteo Lovato;0;0.00;
1463;Dejan Lovren;1;0.58;0.00
1464;Eduard Löwen;6;1.34;0.20
1465;Eduard Löwen;0;1.43;0.00
1466;Matthew Lowton;0;0.00;
1467;Hirving Lozano;13;2.99;0.12
1468;Pol Lozano;0;0.00;
1469;Jan Luca Rumpf;0;1.00;0.00
1470;Lucas;1;1.38;1.00
1471;Jean Lucas;2;2.70;0.17
1472;Fabio Lucioni;4;0.40;0.21
1473;José Luis Gayà;2;0.41;0.00
1474;José Luis Morales;14;1.39;0.10
1475;José Luis Palomino;3;0.54;0.13
1476;José Luis Rodríguez;1;4.09;0.00
1477;David Luiz;7;0.74;0.09
1478;Douglas Luiz;12;1.34;0.08
1479;Jordan Lukaku;0;0.45;0.00
1480;Romelu Lukaku;41;2.87;0.18
1481;Dodi Lukebakio;18;1.68;0.18
1482;Saša Lukić;4;0.87;0.06
1483;Senad Lulić;3;0.92;0.00
1484;John Lundstram;11;1.61;0.11
1485;Sebastiano Luperto;0;0.17;0.00
1486;Arnaud Lusamba;3;0.46;0.20
1487;Andreas Luthe;0;0.00;
1488;Lyanco;0;0.31;0.00
1489;Charalambos Lykogiannis;3;0.94;0.00
1490;Yann M'Vila;3;0.42;0.00
1491;Alexis Mac Allister;1;1.79;0.00
1492;Darwin Machís;27;3.04;0.08
1493;Yvann Macon;1;0.95;0.00
1494;James Maddison;18;2.54;0.08
1495;Lisandro Magallán;1;0.45;0.17
1496;Francesco Magnanelli;0;0.58;0.00
1497;Giangiacomo Magnani;1;1.57;0.00
1498;Giangiacomo Magnani;2;1.24;0.50
1499;Hugo Magnetti;2;2.29;0.00
1500;Harry Maguire;8;0.84;0.03
1501;Abdallahi Mahmoud;0;0.00;
1502;Riyad Mahrez;30;3.38;0.14
1503;Thiago Maia;0;0.00;
1504;Arne Maier;3;1.01;0.00
1505;Habib Maïga;9;1.19;0.03
1506;Mike Maignan;0;0.04;0.00
1507;Ainsley Maitland-Niles;1;0.26;0.00
1508;Josh Maja;12;2.20;0.33
1509;Abdul Majeed Waris;2;1.70;0.29
1510;Žan Majer;8;1.08;0.05
1511;Jean-Victor Makengo;4;1.28;0.14
1512;Nemanja Maksimović;11;0.99;0.06
1513;Nikola Maksimović;1;0.20;0.25
1514;Kévin Malcuit;0;0.70;0.00
1515;Daniel Maldini;0;0.00;
1516;Ruslan Malinovskyi;27;4.57;0.10
1517;Yunus Mallı;4;1.34;0.00
1518;Hugo Mallo;3;0.27;0.00
1519;Streli Mamba;10;1.48;0.20
1520;Hianga Mananga Mbock;1;2.55;0.25
1521;Vincent Manceau;2;0.36;0.00
1522;Gianluca Mancini;5;0.66;0.05
1523;Marco Mancosu;22;2.66;0.07
1524;Steve Mandanda;0;0.00;
1525;Reinildo Mandava;0;0.16;0.00
1526;Aïssa Mandi;3;0.35;0.00
1527;Rolando Mandragora;7;2.41;0.00
1528;Sadio Mané;36;2.49;0.24
1529;Eliaquim Mangala;0;0.13;0.00
1530;Thomas Mangani;6;1.44;0.07
1531;Massimiliano Mangraviti;0;0.28;0.00
1532;Kostas Manolas;8;0.70;0.24
1533;Javier Manquillo;0;0.06;0.00
1534;Giacomo Manzari;0;0.00;
1535;Myziane Maolida;5;2.13;0.06
1536;Faitout Maouassa;7;0.60;0.25
1537;Fernando Marçal;1;0.54;0.00
1538;Marcelo;6;1.18;0.06
1539;Marcelo;2;0.48;0.00
1540;Solly March;8;1.65;0.00
1541;Gian Marco Ferrari;2;0.52;0.00
1542;Óscar de Marcos;0;0.17;0.00
1543;Dario Maresic;0;0.00;
1544;Miguel Marí;0;0.00;
1545;Pablo Marí;0;0.00;
1546;José María Giménez;2;0.56;0.00
1547;Mariano;2;10.00;0.20
1548;Adrian Mariappa;0;0.18;0.00
1549;Jordan Marié;0;0.45;0.00
1550;Federico Marigosu;0;0.00;
1551;Adrián Marín;0;0.32;0.00
1552;Guillermo Maripán;0;0.00;
1553;Guillermo Maripán;4;0.51;0.20
1554;Marlon;1;0.25;0.00
1555;Omar Marmoush;1;1.11;0.00
1556;Gonzalo Maroni;1;1.99;0.00
1557;Marquinhos;3;0.67;0.27
1558;Bruno Martella;2;0.71;0.00
1559;Roger Martí;20;2.10;0.13
1560;Anthony Martial;38;2.71;0.22
1561;Aarón Martín;3;0.45;0.00
1562;Daniel Martín;0;0.00;
1563;David Martin;0;0.00;
1564;Jonas Martin;0;0.80;0.00
1565;Jonas Martin;0;0.00;
1566;Josh Martin;1;2.43;0.00
1567;Martinelli;5;1.63;0.25
1568;Álex Martínez;0;6.00;0.00
1569;Emiliano Martínez;0;0.00;
1570;Iñigo Martínez;4;0.82;0.04
1571;Javi Martínez;0;0.00;
1572;Javi Martínez;0;0.13;0.00
1573;Lautaro Martínez;42;4.48;0.10
1574;Pablo Martinez;3;0.46;0.17
1575;Pablo Martínez;0;2.73;0.00
1576;Gelson Martins;11;1.51;0.14
1577;Adam Marušić;6;1.05;0.18
1578;Omar Mascarell;2;0.44;0.00
1579;Andrea Masiello;1;0.41;0.00
1580;Andrea Masiello;0;0.00;
1581;Adam Masina;3;0.74;0.07
1582;Jordi Masip;0;0.00;
1583;Arthur Masuaku;2;0.48;0.00
1584;Jaime Mata;20;1.67;0.16
1585;Juan Mata;1;1.07;0.00
1586;Aleš Matějů;4;0.21;0.00
1587;Jean-Philippe Mateta;11;2.91;0.06
1588;Nemanja Matić;2;0.40;0.00
1589;Joël Matip;1;0.51;0.25
1590;Rabbi Matondo;7;1.86;0.08
1591;Alessandro Matri;1;6.07;0.00
1592;Federico Mattiello;2;0.68;0.00
1593;Blaise Matuidi;4;0.52;0.00
1594;Neal Maupay;34;2.93;0.10
1595;Stephy Mavididi;11;1.68;0.19
1596;Philipp Max;12;1.16;0.20
1597;Eric Maxim Choupo-Moting;7;3.59;0.17
1598;Alexandru Maxim;0;2.31;0.00
1599;Kévin Mayi;0;0.00;
1600;Borja Mayoral;18;1.89;0.18
1601;Luca Mazzitelli;0;0.00;
1602;Kevin Mbabu;3;0.48;0.33
1603;Kylian Mbappé;49;5.23;0.20
1604;Ibrahima Mbaye;1;0.30;0.00
1605;Loïc Mbe Soh;0;0.00;
1606;Isaac Mbenza;1;4.29;0.00
1607;Nathanael Mbuku;1;1.82;0.00
1608;James McArthur;6;0.84;0.00
1609;Oliver McBurnie;24;2.09;0.12
1610;Alex McCarthy;0;0.00;
1611;James McCarthy;3;0.59;0.00
1612;John McGinn;19;2.14;0.05
1613;David McGoldrick;19;2.28;0.04
1614;Michael McGovern;0;0.00;
1615;Weston McKennie;7;1.39;0.09
1616;Kenny McLean;10;0.91;0.03
1617;Dwight McNeil;14;1.29;0.04
1618;Scott McTominay;10;1.52;0.13
1619;Biagio Meccariello;2;0.59;0.20
1620;Gary Medel;1;0.25;0.00
1621;Ben Mee;5;0.56;0.06
1622;Joshua Mees;3;2.49;0.00
1623;Admir Mehmedi;9;1.72;0.09
1624;Soualiho Meïté;3;0.90;0.00
1625;Farid El Melali;5;1.76;0.50
1626;Óscar Melendo;0;0.24;0.00
1627;Gonzalo Melero;7;1.24;0.06
1628;Arthur Melo;5;0.61;0.38
1629;Pedro Mendes;3;0.59;0.11
1630;Thiago Mendes;3;1.29;0.00
1631;Brais Méndez;8;1.46;0.00
1632;Édgar Méndez;4;0.94;0.11
1633;Stiven Mendoza;9;1.88;0.22
1634;Alexandre Mendy;9;2.90;0.10
1635;Benjamin Mendy;1;0.60;0.00
1636;Edouard Mendy;0;0.00;
1637;Ferland Mendy;2;0.35;0.14
1638;Nampalys Mendy;1;0.31;0.00
1639;Hamza Mendyl;1;0.62;0.10
1640;Chris Mepham;1;0.59;0.17
1641;Levent Mercan;0;1.27;0.00
1642;Jorge Meré;1;0.44;0.33
1643;Alex Meret;0;0.00;
1644;Fran Mérida;2;1.01;0.00
1645;Mikel Merino;14;1.26;0.11
1646;Sabin Merino;0;0.00;
1647;Yıldırım Mert Çetin;0;1.05;0.00
1648;Dries Mertens;24;4.00;0.12
1649;Roque Mesa;9;1.16;0.04
1650;Lionel Messi;63;4.81;0.13
1651;Thomas Meunier;2;0.29;0.00
1652;Mexer;0;0.54;0.00
1653;Max Meyer;2;1.24;0.00
1654;Kingsley Michael;0;0.00;
1655;Míchel;2;0.45;0.00
1656;Sven Michel;19;2.81;0.12
1657;Miguel;1;0.78;0.00
1658;Florian Miguel;2;0.74;0.06
1659;Georges Mikautadze;0;11.25;0.00
1660;Nikola Milenković;13;0.80;0.17
1661;Arkadiusz Milik;27;3.45;0.16
1662;Sergej Milinković-Savić;23;2.50;0.08
1663;Éder Militão;1;0.26;0.00
1664;Luka Milivojević;7;1.04;0.03
1665;Vincenzo Millico;0;2.50;0.00
1666;James Milner;1;0.96;0.00
1667;Santi Mina;14;2.22;0.13
1668;Yerry Mina;10;1.18;0.07
1669;Takumi Minamino;2;3.25;0.00
1670;Tyrone Mings;4;0.28;0.22
1671;Jorge Miramón;2;0.33;0.00
1672;Juan Miranda;1;0.58;0.00
1673;Antonio Mirante;0;0.00;
1674;Simone Missiroli;3;0.42;0.08
1675;Tyrick Mitchell;0;0.00;
1676;Stefan Mitrović;2;0.18;0.25
1677;Maximilian Mittelstädt;5;1.05;0.05
1678;Henrikh Mkhitaryan;0;1.61;0.00
1679;Henrikh Mkhitaryan;16;2.53;0.21
1680;Anthony Modeste;10;2.69;0.12
1681;Luka Modrić;13;1.35;0.10
1682;Kevin Möhwald;1;6.08;0.00
1683;Niklas Moisander;3;0.73;0.00
1684;Jorge Molina;7;1.43;0.10
1685;Florent Mollet;22;2.51;0.13
1686;Jon Moncayola;3;0.84;0.07
1687;Gabriele Moncini;0;1.75;0.00
1688;Thomas Monconduit;2;0.73;0.00
1689;Nacho Monreal;0;0.33;0.00
1690;Nacho Monreal;5;0.60;0.13
1691;Joan Monterde Raygal;0;0.00;
1692;Ilario Monterisi;0;0.00;
1693;Ángel Montoro;5;1.29;0.14
1694;Martín Montoya;3;0.38;0.00
1695;Simon Moore;0;0.00;
1696;Aaron Mooy;8;1.42;0.06
1697;Wesley Moraes;17;1.77;0.14
1698;Alfredo Morales;5;1.09;0.05
1699;Álvaro Morata;27;2.75;0.16
1700;Jan Morávek;0;0.38;0.00
1701;Steven Moreira;0;0.39;0.00
1702;Jérémy Morel;3;0.65;0.08
1703;Alberto Moreno;3;0.55;0.00
1704;Álex Moreno;8;0.99;0.00
1705;Gerard Moreno;32;2.79;0.20
1706;Mateu Morey;1;0.91;0.00
1707;Wes Morgan;1;0.62;0.00
1708;Manu Morlanes;0;0.00;
1709;Raúl Moro;0;0.00;
1710;Loren Morón;18;2.17;0.20
1711;Leonardo Morosini;0;0.00;
1712;Ravel Morrison;0;6.92;0.00
1713;Victor Moses;0;1.07;0.00
1714;Lebo Mothiba;11;2.32;0.11
1715;Harold Moukoudi;0;0.27;0.00
1716;Jessy Moulin;0;0.00;
1717;Mason Mount;29;2.45;0.09
1718;Lucas Moura;13;2.25;0.07
1719;Lys Mousset;9;2.54;0.17
1720;Wesley Moustache;0;0.00;
1721;João Moutinho;6;0.64;0.05
1722;Samuel Moutoussamy;1;0.69;0.00
1723;Toni Moya;0;0.00;
1724;Javi Moyano;0;0.24;0.00
1725;Nordi Mukiele;6;1.06;0.14
1726;Benoît Mukinayi;3;0.64;0.00
1727;Mert Müldür;7;0.92;0.15
1728;Florian Müller;0;0.00;
1729;Thomas Müller;20;2.12;0.15
1730;Marshall Munetsi;0;0.43;0.00
1731;Iker Muniain;13;1.06;0.18
1732;Aihen Muñoz;0;0.00;
1733;Javier Muñoz;0;0.00;
1734;Simone Muratore;2;2.18;0.00
1735;Alessandro Murgia;7;1.29;0.00
1736;Luis Muriel;34;5.14;0.17
1737;Jeison Murillo;0;0.27;0.00
1738;Jeison Murillo;6;0.53;0.11
1739;Glenn Murray;4;1.92;0.06
1740;Nicola Murru;1;0.36;0.00
1741;Mateo Musacchio;0;0.31;0.00
1742;Torben Müsel;0;0.00;
1743;Jamal Musiala;0;0.00;
1744;Juan Musso;0;0.00;
1745;Shkodran Mustafi;3;0.82;0.00
1746;Yoshinori Mutō;0;0.42;0.00
1747;Yvon Mvogo;0;0.00;
1748;Phillipp Mwene;0;0.00;
1749;Obite N'Dicka;2;0.47;0.11
1750;Kévin N'Doram;2;0.49;0.00
1751;Abdallah N'dour;0;0.00;
1752;Ferris N'Goma;0;3.60;0.00
1753;Nathan N'Goumou;0;0.00;
1754;Georges-Kévin N'Koudou;0;30.00;0.00
1755;Stanley N'Soki;1;0.21;0.00
1756;Nacho;1;1.23;0.17
1757;Nacho;2;0.48;0.00
1758;Radja Nainggolan;19;2.87;0.09
1759;Marvelous Nakamba;1;0.34;0.00
1760;Naldo;0;0.47;0.00
1761;Nahitan Nández;9;0.78;0.08
1762;Matija Nastasić;3;0.79;0.00
1763;Marc Navarro;0;2.05;0.00
1764;Ximo Navarro;1;0.33;0.00
1765;Jesús Navas;2;0.27;0.00
1766;Keylor Navas;0;0.00;
1767;Raúl Navas;0;0.00;
1768;Michel Ndary Adopo;0;0.00;
1769;Papa Ndiaga Yade;0;0.00;
1770;Wilfred Ndidi;2;0.91;0.07
1771;Emanuele Ndoj;4;1.46;0.00
1772;Tanguy Ndombele;4;0.80;0.22
1773;Reiss Nelson;4;1.57;0.09
1774;Ilija Nestorovski;10;2.52;0.09
1775;Neto;0;0.00;
1776;Pedro Neto;6;1.63;0.18
1777;Manuel Neuer;0;0.00;
1778;Florian Neuhaus;22;2.22;0.07
1779;Carlos Neva;4;0.29;0.00
1780;Rúben Neves;10;1.83;0.03
1781;Neymar;31;4.37;0.14
1782;Jeremy Ngakia;1;0.20;0.00
1783;Jessic Ngankam;0;0.00;
1784;Muzinga Ngonda;0;0.00;
1785;Ahmad Ngouyamsa;0;0.00;
1786;Opa Nguette;10;1.38;0.18
1787;Moussa Niakhate;5;0.36;0.08
1788;Ibrahima Niane;10;2.74;0.07
1789;M'Baye Niang;27;2.75;0.15
1790;Cheikh Niasse;0;0.00;
1791;Oumar Niasse;0;0.00;
1792;Moritz Nicolas;0;0.00;
1793;Florian Niederlechner;38;2.48;0.16
1794;Saúl Ñíguez;8;1.20;0.10
1795;Casimir Ninga;6;4.22;0.09
1796;Fernando Niño;1;1.08;1.00
1797;Timothée Nkada;0;1.22;0.00
1798;Eddie Nketiah;5;2.13;0.13
1799;Nicolas Nkoulou;3;0.33;0.10
1800;Christopher Nkunku;23;2.43;0.10
1801;Lukas Nmecha;0;2.06;0.00
1802;Mark Noble;3;0.47;0.07
1803;Nolito;12;2.81;0.11
1804;Nolito;4;1.67;0.17
1805;Arnaud Nordin;5;1.29;0.08
1806;Håvard Nordtveit;0;0.26;0.00
1807;Oliver Norwood;5;0.47;0.00
1808;Alexander Nübel;0;0.00;
1809;Kasim Nuhu;3;0.54;0.17
1810;Unai Núñez;3;0.46;0.00
1811;Bram Nuytinck;0;0.24;0.00
1812;Gerzino Nyamsi;0;0.00;
1813;Ørjan Nyland;0;0.00;
1814;Allan Nyom;5;0.48;0.15
1815;Steven Nzonzi;1;0.47;0.00
1816;Jack O'Connell;2;0.49;0.00
1817;Michael Obafemi;4;1.62;0.25
1818;Pedro Obiang;7;1.18;0.05
1819;Jan Oblak;0;0.00;
1820;Rafael Obrador;0;0.00;
1821;Lucas Ocampos;31;2.66;0.11
1822;Bastian Oczipka;3;0.27;0.00
1823;Álvaro Odriozola;0;0.00;
1824;Álvaro Odriozola;0;0.52;0.00
1825;Kelvin Ofori;0;2.43;0.00
1826;Angelo Ogbonna;4;0.45;0.14
1827;Stefano Okaka;14;2.20;0.14
1828;Kwasi Okyere Wriedt;0;6.43;0.00
1829;Lucas Olaza;5;0.54;0.05
1830;Oier Olazábal;0;0.00;
1831;Christian Oliva;1;0.58;0.33
1832;Kiko Olivas;4;0.31;0.20
1833;Cauly Oliveira Souza;8;1.76;0.14
1834;Paulo Oliveira;4;0.52;0.08
1835;Mathías Olivera;1;0.29;0.00
1836;Maximiliano Olivera;0;10.00;0.00
1837;Marco Olivieri;1;3.00;0.00
1838;Dani Olmo;6;2.53;0.14
1839;Robin Olsen;0;0.00;
1840;Kenneth Omeruo;1;0.19;0.25
1841;Jean Onana;0;1.14;0.00
1842;Karim Onisiwo;21;1.98;0.11
1843;Javier Ontiveros;18;4.96;0.04
1844;Henry Onyekuru;0;0.56;0.00
1845;Nicholas Opoku;1;0.75;0.00
1846;Nicholas Opoku;0;0.14;0.00
1847;Willi Orban;3;0.74;0.14
1848;Fabián Orellana;16;1.43;0.11
1849;Divock Origi;6;1.76;0.29
1850;Aimar Oroz;0;0.00;
1851;Riccardo Orsolini;25;3.02;0.09
1852;Yuya Osako;21;2.24;0.17
1853;Ben Osborn;1;0.45;0.00
1854;Victor Osimhen;32;3.23;0.13
1855;David Ospina;0;0.00;
1856;Nicolás Otamendi;7;0.79;0.13
1857;Otávio;7;0.90;0.09
1858;Paulo Otávio;1;0.71;0.00
1859;Abou Ouattara;0;0.00;
1860;Remi Oudin;3;1.92;0.08
1861;Remi Oudin;10;2.25;0.09
1862;Alexandre Oukidja;0;0.00;
1863;Zinédine Ould Khaled;0;0.00;
1864;Adam Ounas;9;1.68;0.10
1865;Reece Oxford;0;0.48;0.00
1866;Alex Oxlade-Chamberlain;10;2.42;0.10
1867;Mikel Oyarzabal;18;1.68;0.11
1868;Ambroise Oyongo;1;0.49;0.00
1869;Mesut Özil;3;0.56;0.11
1870;Levin Öztunalı;10;1.77;0.11
1871;Pablo;7;0.70;0.24
1872;Fernando Pacheco;0;0.00;
1873;Jon Pacheco;0;0.00;
1874;Gonçalo Paciência;15;3.30;0.13
1875;Daniele Padelli;0;0.00;
1876;Marko Pajač;1;0.83;0.00
1877;Vincent Pajot;0;2.39;0.00
1878;Vincent Pajot;2;1.04;0.00
1879;Rodrigo Palacio;25;2.11;0.12
1880;Exequiel Palacios;0;2.54;0.00
1881;Sergi Palencia;0;0.19;0.00
1882;Nicolas Pallois;3;0.67;0.00
1883;Emerson Palmieri;7;1.14;0.00
1884;Alberto Paloschi;1;2.05;0.00
1885;Alberto Paloschi;0;1.32;0.00
1886;Martin Palumbo;0;0.00;
1887;Goran Pandev;22;1.98;0.24
1888;Jonathan Panzo;0;0.84;0.00
1889;Sokratis Papastathopoulos;2;0.37;0.29
1890;Andrea Papetti;1;0.20;0.50
1891;Lucas Paquetá;13;2.77;0.00
1892;Gaëtan Paquiez;0;0.29;0.00
1893;Rubén Pardo;2;0.96;0.50
1894;Leandro Paredes;5;1.99;0.00
1895;Daniel Parejo;10;0.86;0.10
1896;Michael Parensen;2;0.43;0.33
1897;Miquel Parera;0;0.00;
1898;Marco Parolo;6;0.90;0.06
1899;Troy Parrott;0;0.00;
1900;Thomas Partey;8;1.09;0.10
1901;Mario Pašalić;17;2.20;0.15
1902;Javier Pastore;3;2.80;0.00
1903;Patric;0;0.32;0.00
1904;Rui Patrício;0;0.00;
1905;Paulinho;4;2.66;0.33
1906;Paulino;0;0.00;
1907;Gabriel Paulista;2;0.26;0.13
1908;Benjamin Pavard;7;0.68;0.19
1909;Jiří Pavlenka;0;0.00;
1910;Mateo Pavlović;3;0.78;0.00
1911;Leonardo Pavoletti;0;4.00;0.00
1912;Dimitri Payet;23;2.80;0.10
1913;Nehuén Paz;0;1.51;0.00
1914;Nehuén Paz;0;0.43;0.00
1915;Giampaolo Pazzini;4;2.93;0.10
1916;Mads Pedersen;0;0.00;
1917;Alfonso Pedraza;7;1.00;0.07
1918;Marc Pedraza;0;0.00;
1919;Pedro;1;7.14;0.00
1920;Pedro;9;3.13;0.04
1921;João Pedro;32;2.34;0.17
1922;João Pedro;0;3.60;0.00
1923;Pedrosa;5;0.99;0.08
1924;Daouda Peeters;0;0.00;
1925;Gianluca Pegolo;0;0.00;
1926;Peter Pekarík;0;0.47;0.00
1927;Yohann Pelé;0;0.00;
1928;Lorenzo Pellegrini;10;2.49;0.02
1929;Luca Pellegrini;5;0.71;0.00
1930;Théo Pellenard;0;0.00;
1931;Andy Pelmard;0;0.23;0.00
1932;Federico Peluso;0;0.48;0.00
1933;Rubén Peña;3;0.28;0.33
1934;Philipp Pentke;0;0.00;
1935;Nicolas Pépé;16;2.19;0.08
1936;Luis Perea;0;0.00;
1937;Victor Perea;1;0.35;0.00
1938;Mathias Pereira Lage;9;2.10;0.03
1939;Andreas Pereira;14;2.24;0.03
1940;Ricardo Pereira;5;0.61;0.18
1941;Gastón Pereiro;4;3.62;0.07
1942;Bruno Peres;5;1.19;0.14
1943;Roberto Pereyra;8;1.04;0.11
1944;Ayoze Pérez;20;2.07;0.15
1945;Carles Pérez;6;2.65;0.07
1946;Carles Pérez;8;3.34;0.05
1947;Iñigo Pérez;7;1.58;0.11
1948;Juan Pérez;0;0.00;
1949;Kike Pérez;1;2.06;0.00
1950;Lucas Pérez;14;1.55;0.14
1951;Rubén Pérez;2;0.78;0.00
1952;Samuel Pérez;0;0.00;
1953;Mattia Perin;0;0.00;
1954;Ivan Perišić;12;3.06;0.10
1955;Diego Perotti;4;1.13;0.09
1956;Romain Perraud;4;1.08;0.00
1957;Loïc Perrin;0;0.26;0.00
1958;Lucas Perrin;1;0.75;0.00
1959;Pavao Pervan;0;0.00;
1960;Matteo Pessina;14;1.16;0.22
1961;Andrea Petagna;25;3.09;0.07
1962;Nils Petersen;20;2.03;0.18
1963;Danijel Petković;0;0.00;
1964;Denis Petrić;0;0.00;
