;PlayerName;Name;Position;Age;Min;Goals;GoalsPer90;Asists;AsistsPer90;GoalAstPer90;Played90s;SCA;SCA90;ShootPass;ShootDrib;GCA;GCA90;AssistPass;AssistDrib;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass;Crosses;PenaltyWon;AerialWonRate;ShootOnTarget;ShootPer90;GoalPerShoot;TacklesWon;TklDribbling;Blocks;SuccPressRatio;MatchPlayed;PointPerMatch;TouchPenArea;SuccDrib;DribLegs;PlayerType;Value;Value2;NetValue;logValue
10;Abdoulaye Doucouré;Abdoulaye Doucouré;MF;26.0;3156;4;0.11;2;0.06;0.17;35.1;84.0;2.4;59.0;10.0;6.0;0.17;4.0;0.0;1302.0;78.5;21933.0;4818.0;27;0.0;50.0;12;1.77;0.06;49;16.0;59.0;25.1;37;0.89;98.0;49.0;2.0;Midfielder;30.0;M;30.0;3.4011973816621555
11;Abdoulaye Touré;Abdoulaye Touré;MF;25.0;2221;3;0.12;0;0.0;0.12;24.7;43.0;1.74;28.0;5.0;2.0;0.08;1.0;1.0;1135.0;84.8;21164.0;4192.0;9;0.0;50.0;8;1.34;0.03;28;12.0;39.0;29.6;27;1.37;24.0;38.0;1.0;Midfielder;7.0;M;7.0;1.9459101490553132
12;Adam Lallana;Adam Lallana;MF;31.0;382;1;0.24;1;0.24;0.47;4.2;9.0;2.12;7.0;1.0;1.0;0.24;1.0;0.0;229.0;84.8;3398.0;790.0;5;0.0;38.9;1;1.18;0.2;12;9.0;13.0;31.1;15;2.67;12.0;2.0;1.0;Midfielder;20.0;M;20.0;2.995732273553991
13;Adam Ounas;Adam Ounas;MF;22.0;1123;2;0.16;4;0.32;0.48;12.5;45.0;3.61;31.0;6.0;5.0;0.4;4.0;0.0;374.0;75.7;7412.0;1762.0;38;1.0;13.3;9;1.68;0.1;7;5.0;12.0;22.2;16;1.69;43.0;39.0;1.0;Midfielder;7.0;M;7.0;1.9459101490553132
14;Adam Webster;Adam Webster;DF;24.0;2668;3;0.1;1;0.03;0.13;29.6;22.0;0.74;19.0;1.0;1.0;0.03;1.0;0.0;1547.0;84.8;33753.0;11543.0;9;0.0;70.0;7;0.54;0.19;25;16.0;66.0;38.7;31;1.06;30.0;12.0;0.0;Defender;20.0;M;20.0;2.995732273553991
15;Adama Soumaoro;Adama Soumaoro;DF;27.0;1052;2;0.18;0;0.0;0.18;11.7;2.0;0.18;1.0;0.0;1.0;0.11;0.0;0.0;623.0;94.8;13518.0;2983.0;0;0.0;70.95;3;0.575;0.375;7;2.0;23.0;33.35;14;1.525;9.0;1.0;0.0;Defender;2.0;M;2.0;0.6931471805599453
16;Ademola Lookman;Ademola Lookman;MF;21.0;309;0;0.0;0;0.0;0.0;3.4;13.0;3.79;10.0;1.0;0.0;0.0;0.0;0.0;116.0;76.3;1639.0;509.0;10;0.0;25.0;1;2.91;0.0;5;4.0;3.0;27.9;11;1.27;19.0;7.0;0.0;Midfielder;8.0;M;8.0;2.0794415416798357
17;Adil Aouchiche;Adil Aouchiche;MF;17.0;64;0;0.0;0;0.0;0.0;0.7;1.0;1.41;1.0;0.0;0.0;0.0;0.0;0.0;24.0;77.4;374.0;57.0;0;0.0;0.0;0;0.0;0.0;2;0.0;3.0;24.1;1;3.0;1.0;3.0;0.0;Midfielder;800.0;K;0.8;-0.2231435513142097
18;Admir Mehmedi;Admir Mehmedi;MF;28.0;1200;2;0.15;2;0.15;0.3;13.3;32.0;2.4;25.0;0.0;7.0;0.52;6.0;0.0;412.0;71.8;6887.0;1953.0;17;0.0;41.8;9;1.72;0.09;5;4.0;16.0;27.7;21;1.57;41.0;7.0;0.0;Midfielder;6.0;M;6.0;1.791759469228055
19;Adnan Januzaj;Adnan Januzaj;FW;24.0;1167;3;0.23;3;0.23;0.46;13.0;56.0;4.32;27.0;6.0;7.0;0.54;3.0;0.0;323.0;65.1;6350.0;2051.0;42;0.0;35.0;8;1.93;0.12;4;3.0;10.0;24.7;24;1.46;44.0;34.0;3.0;Forward;20.0;M;20.0;2.995732273553991
20;Adrien Hunou;Adrien Hunou;FW;25.0;1210;8;0.6;1;0.07;0.67;13.4;32.0;2.38;23.0;2.0;4.0;0.3;3.0;0.0;247.0;77.9;3710.0;750.0;11;1.0;32.4;14;2.16;0.24;16;5.0;21.0;29.5;23;1.74;57.0;12.0;0.0;Forward;7.0;M;7.0;1.9459101490553132
21;Adrien Lebeau;Adrien Lebeau;MF;20.0;13;0;0.0;0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;50.0;39.0;5.0;0;0.0;0.0;0;0.0;0.0;0;0.0;1.0;25.0;2;0.5;0.0;1.0;0.0;Midfielder;700.0;K;0.7000000000000001;-0.3566749439387323
22;Adrien Silva;Adrien Silva;MF;30.0;1221;0;0.0;2;0.15;0.15;13.6;32.0;2.36;22.0;3.0;3.0;0.22;1.0;0.0;719.0;86.1;13447.0;3887.0;8;0.0;44.4;3;1.03;0.0;28;8.0;26.0;33.2;22;1.64;5.0;17.0;0.0;Midfielder;5.0;M;5.0;1.6094379124341003
23;Adrien Tameze;Adrien Tameze;MF;25.0;730;1;0.085;0;0.0;0.085;8.1;19.0;2.915;18.0;0.0;3.0;0.64;2.0;0.0;385.0;88.05;6461.0;1323.0;7;0.0;48.8;1;0.435;0.1;10;5.0;14.0;26.4;15;1.98;13.0;10.0;1.0;Midfielder;5.0;M;5.0;1.6094379124341003
24;Adrien Thomasson;Adrien Thomasson;MF;25.0;2072;8;0.35;1;0.04;0.39;23.0;79.0;3.43;59.0;4.0;5.0;0.22;4.0;0.0;736.0;77.5;12343.0;3164.0;49;0.0;24.0;17;2.17;0.16;24;15.0;24.0;27.0;25;1.52;103.0;28.0;3.0;Midfielder;5.0;M;5.0;1.6094379124341003
25;Adrián;Adrián;GK;32.0;1750;0;0.0;0;0.0;0.0;19.4;4.0;0.21;4.0;0.0;0.0;0.0;0.0;0.0;454.0;72.3;13638.0;7630.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;22;3.0;0.0;0.0;0.0;Goalkeeper;6.0;M;6.0;1.791759469228055
26;Adrián Marín;Adrián Marín;DF;22.0;852;0;0.0;0;0.0;0.0;9.5;11.0;1.16;8.0;0.0;0.0;0.0;0.0;0.0;253.0;71.3;4644.0;2482.0;16;0.0;50.0;0;0.32;0.0;6;3.0;23.0;25.3;12;0.5;7.0;8.0;3.0;Defender;1.0;M;1.0;0.0
27;Ahmad Ngouyamsa;Ahmad Ngouyamsa;DF;18.0;55;0;0.0;0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;1;3.0;0.0;0.0;0.0;Defender;80.0;K;0.08;-2.5257286443082556
28;Ahmed Elmohamady;Ahmed Elmohamady;DF;31.0;1031;1;0.09;1;0.09;0.17;11.5;28.0;2.44;27.0;0.0;1.0;0.09;1.0;0.0;484.0;76.5;9333.0;3713.0;50;0.0;55.6;1;0.44;0.2;17;10.0;11.0;25.7;18;0.89;17.0;6.0;0.0;Defender;2.0;M;2.0;0.6931471805599453
29;Ahmed Kutucu;Ahmed Kutucu;FW;19.0;679;3;0.4;2;0.27;0.66;7.5;18.0;2.39;11.0;3.0;4.0;0.53;4.0;0.0;126.0;71.2;2006.0;397.0;9;0.0;34.4;5;1.99;0.2;9;4.0;8.0;33.1;25;0.92;21.0;21.0;1.0;Forward;1.0;M;1.0;0.0
30;Aihen Muñoz;Aihen Muñoz;DF;21.0;981;0;0.0;0;0.0;0.0;10.9;8.0;0.73;7.0;0.0;1.0;0.09;1.0;0.0;508.0;77.4;8852.0;2978.0;37;0.0;50.0;0;0.0;0.0;9;11.0;19.0;41.0;15;1.47;9.0;6.0;1.0;Defender;7.0;M;7.0;1.9459101490553132
31;Ainsley Maitland-Niles;Ainsley Maitland-Niles;DF;21.0;1386;0;0.0;2;0.13;0.13;15.4;21.0;1.36;17.0;1.0;3.0;0.19;2.0;0.0;825.0;82.6;14121.0;4762.0;20;0.0;51.9;1;0.26;0.0;27;14.0;29.0;28.3;20;1.7;18.0;22.0;2.0;Defender;30.0;M;30.0;3.4011973816621555
32;Aitor Fernández;Aitor Fernández;GK;28.0;3240;0;0.0;0;0.0;0.0;36.0;4.0;0.11;3.0;0.0;0.0;0.0;0.0;0.0;751.0;67.2;23462.0;15254.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;42.9;36;1.19;0.0;0.0;0.0;Goalkeeper;9.0;M;9.0;2.1972245773362196
33;Aitor Ruibal;Aitor Ruibal;DF;23.0;1220;0;0.0;0;0.0;0.0;13.6;32.0;2.36;21.0;6.0;1.0;0.07;1.0;0.0;306.0;73.9;4825.0;1624.0;29;0.0;28.6;3;1.18;0.0;18;13.0;18.0;27.8;25;1.0;36.0;33.0;5.0;Defender;3.0;M;3.0;1.0986122886681098
34;Akaki Gogia;Akaki Gogia;MF;27.0;121;0;0.0;0;0.0;0.0;1.3;5.0;3.72;4.0;1.0;0.0;0.0;0.0;0.0;28.0;65.1;512.0;166.0;4;0.0;80.0;0;0.74;0.0;1;1.0;4.0;26.9;3;0.0;3.0;6.0;0.0;Midfielder;1.0;M;1.0;0.0
35;Alassane Pléa;Alassane Pléa;FW;26.0;2143;10;0.42;10;0.42;0.84;23.8;87.0;3.65;58.0;11.0;14.0;0.59;11.0;0.0;519.0;72.3;8237.0;2098.0;38;0.0;29.1;35;3.23;0.13;11;7.0;26.0;23.3;27;1.74;136.0;48.0;1.0;Forward;20.0;M;20.0;2.995732273553991
36;Alban Lafont;Alban Lafont;GK;20.0;2430;0;0.0;0;0.0;0.0;27.0;4.0;0.15;2.0;0.0;0.0;0.0;0.0;0.0;551.0;62.3;17995.0;12597.0;1;0.0;0.0;0;0.0;0.0;0;0.0;0.0;14.3;27;1.37;0.0;0.0;0.0;Goalkeeper;4.0;M;4.0;1.3862943611198906
37;Alberto Cerri;Alberto Cerri;FW;23.0;664;2;0.29;0;0.0;0.29;7.4;15.0;1.92;13.0;0.0;0.0;0.0;0.0;0.0;164.0;66.65;2623.0;354.0;2;0.0;60.6;7;2.3600000000000003;0.12;4;3.0;1.0;22.8;19;0.635;41.0;12.0;0.0;Forward;2.0;M;2.0;0.6931471805599453
38;Alberto Grassi;Alberto Grassi;MF;24.0;641;1;0.14;1;0.14;0.28;7.1;10.0;1.4;8.0;0.0;2.0;0.28;1.0;0.0;217.0;84.8;3814.0;1087.0;6;1.0;54.5;2;1.12;0.13;7;4.0;16.0;32.1;16;1.5;9.0;4.0;0.0;Midfielder;4.0;M;4.0;1.3862943611198906
39;Alberto Moreno;Alberto Moreno;DF;27.0;1471;0;0.0;0;0.0;0.0;16.3;19.0;1.16;16.0;0.0;2.0;0.12;1.0;0.0;841.0;85.7;15013.0;5033.0;31;1.0;48.5;3;0.55;0.0;21;9.0;34.0;31.9;18;1.72;32.0;11.0;1.0;Defender;10.0;M;10.0;2.302585092994046
40;Albin Ekdal;Albin Ekdal;MF;30.0;2385;0;0.0;2;0.08;0.08;26.5;57.0;2.15;49.0;0.0;7.0;0.26;4.0;0.0;1012.0;87.2;18005.0;4955.0;5;2.0;58.8;2;0.64;0.0;44;19.0;48.0;29.8;32;1.28;27.0;24.0;2.0;Midfielder;4.0;M;4.0;1.3862943611198906
41;Aleix Vidal;Aleix Vidal;MF;29.0;2165;2;0.08;4;0.17;0.25;24.1;71.0;2.95;37.0;3.0;9.0;0.37;4.0;0.0;611.0;72.1;11886.0;3841.0;57;1.0;32.3;9;0.91;0.09;16;9.0;36.0;22.6;29;1.14;45.0;22.0;3.0;Midfielder;8.0;M;8.0;2.0794415416798357
42;Aleksandar Kolarov;Aleksandar Kolarov;DF;33.0;2732;7;0.23;3;0.1;0.33;30.4;104.0;3.43;67.0;2.0;7.0;0.23;5.0;0.0;1446.0;78.8;29136.0;9514.0;81;0.0;57.9;16;2.27;0.07;25;20.0;36.0;42.7;32;2.0;68.0;22.0;0.0;Defender;1.0;M;1.0;0.0
43;Alessandro Bastoni;Alessandro Bastoni;DF;20.0;1921;2;0.09;0;0.0;0.09;21.3;31.0;1.45;27.0;1.0;2.0;0.09;2.0;0.0;1256.0;88.0;26106.0;8051.0;17;0.0;65.7;4;0.37;0.25;21;16.0;34.0;27.2;25;2.0;17.0;8.0;0.0;Defender;20.0;M;20.0;2.995732273553991
44;Alessandro Deiola;Alessandro Deiola;MF;23.0;718;1;0.065;1;0.065;0.125;8.0;14.0;0.88;12.0;0.0;1.0;0.065;1.0;0.0;224.0;37.85;4563.0;1011.0;5;0.0;12.5;2;0.565;0.055;12;10.0;15.0;14.8;11;0.7;13.0;10.0;0.0;Midfielder;3.0;M;3.0;1.0986122886681098
45;Alessandro Schöpf;Alessandro Schöpf;MF;25.0;1432;0;0.0;1;0.06;0.06;15.9;27.0;1.7;22.0;0.0;3.0;0.19;1.0;0.0;566.0;83.5;8930.0;1826.0;11;0.0;16.7;3;0.88;0.0;22;9.0;24.0;32.9;22;0.91;35.0;26.0;1.0;Midfielder;3.0;M;3.0;1.0986122886681098
46;Alessandro Tripaldelli;Alessandro Tripaldelli;DF;20.0;135;0;0.0;0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.0;82.6;848.0;445.0;2;0.0;100.0;0;0.0;0.0;1;3.0;3.0;17.4;2;0.0;0.0;2.0;0.0;Defender;1.0;M;1.0;0.0
47;Alessio Cragno;Alessio Cragno;GK;25.0;1440;0;0.0;0;0.0;0.0;16.0;1.0;0.06;1.0;0.0;0.0;0.0;0.0;0.0;305.0;64.2;9238.0;6113.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;16;0.75;0.0;0.0;0.0;Goalkeeper;10.0;M;10.0;2.302585092994046
48;Alessio Romagnoli;Alessio Romagnoli;DF;24.0;3091;1;0.03;0;0.0;0.03;34.3;30.0;0.87;24.0;1.0;3.0;0.09;3.0;0.0;1806.0;92.0;37992.0;12319.0;0;0.0;65.4;3;0.41;0.07;25;9.0;54.0;33.9;35;1.69;19.0;4.0;0.0;Defender;20.0;M;20.0;2.995732273553991
49;Alex Ferrari;Alex Ferrari;DF;25.0;1005;0;0.0;0;0.0;0.0;11.2;5.0;0.45;4.0;0.0;0.0;0.0;0.0;0.0;343.0;80.7;7985.0;2335.0;0;0.0;55.6;1;0.36;0.0;12;4.0;22.0;25.6;12;1.17;4.0;7.0;0.0;Defender;2.0;M;2.0;0.6931471805599453
50;Alex Iwobi;Alex Iwobi;MF;23.0;1596;1;0.06;0;0.0;0.06;17.7;44.0;2.48;41.0;2.0;2.0;0.11;2.0;0.0;462.0;75.2;9222.0;2941.0;34;0.0;31.8;9;1.3;0.04;14;10.0;20.0;26.0;25;1.08;48.0;27.0;4.0;Midfielder;30.0;M;30.0;3.4011973816621555
51;Alex McCarthy;Alex McCarthy;GK;29.0;2520;0;0.0;0;0.0;0.0;28.0;4.0;0.14;2.0;0.0;0.0;0.0;0.0;0.0;441.0;54.1;17431.0;12921.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;100.0;28;1.57;0.0;2.0;0.0;Goalkeeper;10.0;M;10.0;2.302585092994046
52;Alex Meret;Alex Meret;GK;22.0;1951;0;0.0;0;0.0;0.0;21.7;1.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;508.0;84.5;11296.0;5694.0;0;0.0;0.0;0;0.0;0.0;0;0.0;1.0;0.0;22;1.45;0.0;0.0;0.0;Goalkeeper;10.0;M;10.0;2.302585092994046
53;Alex Oxlade-Chamberlain;Alex Oxlade-Chamberlain;MF;25.0;1485;4;0.24;1;0.06;0.3;16.5;42.0;2.55;31.0;3.0;4.0;0.24;1.0;2.0;592.0;79.1;11905.0;2554.0;29;0.0;33.3;10;2.42;0.1;14;5.0;27.0;29.7;30;2.5;47.0;35.0;0.0;Midfielder;40.0;M;40.0;3.6888794541139363
54;Alexander Djiku;Alexander Djiku;DF;24.0;2064;1;0.04;1;0.04;0.09;22.9;16.0;0.7;13.0;0.0;1.0;0.04;1.0;0.0;1066.0;89.0;23935.0;7813.0;4;0.0;78.8;6;0.87;0.05;40;25.0;30.0;34.5;25;1.52;19.0;13.0;1.0;Defender;5.0;M;5.0;1.6094379124341003
55;Alexander Hack;Alexander Hack;DF;25.0;805;0;0.0;0;0.0;0.0;8.9;10.0;1.12;10.0;0.0;0.0;0.0;0.0;0.0;320.0;77.7;7448.0;3066.0;0;0.0;63.3;1;0.78;0.0;16;12.0;35.0;34.7;14;0.93;6.0;4.0;0.0;Defender;3.0;M;3.0;1.0986122886681098
56;Alexander Isak;Alexander Isak;FW;19.0;1507;9;0.54;1;0.06;0.6;16.7;33.0;1.97;23.0;4.0;5.0;0.3;1.0;1.0;222.0;73.0;3338.0;579.0;8;0.0;32.8;22;2.63;0.2;7;2.0;10.0;28.6;37;1.51;103.0;24.0;0.0;Forward;9.0;M;9.0;2.1972245773362196
57;Alexander Schwolow;Alexander Schwolow;GK;27.0;2091;0;0.0;0;0.0;0.0;23.2;2.0;0.09;1.0;0.0;0.0;0.0;0.0;0.0;668.0;68.2;21648.0;13304.0;0;0.0;0.0;0;0.0;0.0;0;0.0;2.0;0.0;24;1.38;0.0;0.0;0.0;Goalkeeper;6.0;M;6.0;1.791759469228055
58;Alexandre Lacazette;Alexandre Lacazette;FW;28.0;1874;10;0.48;4;0.19;0.67;20.8;60.0;2.88;36.0;5.0;15.0;0.72;5.0;3.0;387.0;77.6;5867.0;1064.0;17;1.0;25.6;26;2.55;0.19;19;4.0;13.0;24.6;30;1.3;115.0;25.0;3.0;Forward;50.0;M;50.0;3.912023005428146
59;Alexandre Oukidja;Alexandre Oukidja;GK;31.0;2384;0;0.0;0;0.0;0.0;26.5;7.0;0.26;5.0;0.0;1.0;0.04;0.0;0.0;454.0;51.2;18898.0;14010.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;27;1.26;0.0;2.0;0.0;Goalkeeper;3.0;M;3.0;1.0986122886681098
60;Alexis Claude-Maurice;Alexis Claude-Maurice;MF;21.0;1629;1;0.06;1;0.06;0.11;18.1;56.0;3.09;32.0;11.0;5.0;0.28;4.0;1.0;504.0;84.0;8313.0;1703.0;19;0.0;52.6;11;2.1;0.03;18;10.0;22.0;24.9;22;1.41;66.0;47.0;1.0;Midfielder;4.0;M;4.0;1.3862943611198906
61;Alexis Mac Allister;Alexis Mac Allister;MF;20.0;352;0;0.0;0;0.0;0.0;3.9;11.0;2.81;4.0;2.0;0.0;0.0;0.0;0.0;84.0;64.6;1479.0;361.0;9;0.0;50.0;1;1.79;0.0;4;4.0;14.0;23.8;9;1.44;6.0;3.0;0.0;Midfielder;20.0;M;20.0;2.995732273553991
62;Alexis Saelemaekers;Alexis Saelemaekers;FW;20.0;684;1;0.13;0;0.0;0.13;7.6;25.0;3.29;22.0;0.0;1.0;0.13;0.0;0.0;279.0;82.1;4147.0;952.0;18;0.0;18.8;2;1.18;0.11;6;7.0;12.0;26.8;13;2.23;26.0;5.0;0.0;Forward;9.0;M;9.0;2.1972245773362196
63;Alfonso Pedraza;Alfonso Pedraza;DF;23.0;1349;1;0.07;0;0.0;0.07;15.0;27.0;1.8;18.0;4.0;0.0;0.0;0.0;0.0;595.0;77.3;10210.0;4070.0;26;0.0;58.6;7;1.0;0.07;20;13.0;38.0;32.3;21;1.1;43.0;20.0;3.0;Defender;8.0;M;8.0;2.0794415416798357
64;Alfred Duncan;Alfred Duncan;MF;26.0;1730;2;0.105;6;0.315;0.42;19.3;47.0;2.455;44.0;1.0;8.0;0.42;7.0;0.0;729.0;82.9;12992.0;3514.0;15;0.0;39.25;8;1.56;0.07;18;11.0;20.0;30.55;26;1.425;31.0;42.0;6.0;Midfielder;8.0;M;8.0;2.0794415416798357
65;Alfred Gomis;Alfred Gomis;GK;25.0;1619;0;0.0;0;0.0;0.0;18.0;4.0;0.22;4.0;0.0;0.0;0.0;0.0;0.0;518.0;70.9;17088.0;11479.0;0;0.0;0.0;0;0.0;0.0;0;0.0;1.0;0.0;19;1.32;0.0;1.0;0.0;Goalkeeper;4.0;M;4.0;1.3862943611198906
66;Alfreð Finnbogason;Alfreð Finnbogason;FW;30.0;966;3;0.28;1;0.09;0.37;10.7;32.0;2.98;24.0;1.0;4.0;0.37;4.0;0.0;147.0;60.7;2157.0;495.0;2;0.0;25.0;7;1.68;0.11;5;0.0;12.0;27.6;21;0.9;47.0;4.0;1.0;Forward;6.0;M;6.0;1.791759469228055
67;Alireza Jahanbakhsh;Alireza Jahanbakhsh;FW;25.0;311;2;0.58;0;0.0;0.58;3.5;8.0;2.32;5.0;1.0;1.0;0.29;0.0;0.0;84.0;60.0;1170.0;377.0;20;0.0;0.0;2;3.18;0.18;3;3.0;5.0;39.2;10;1.0;12.0;7.0;0.0;Forward;10.0;M;10.0;2.302585092994046
68;Alisson;Alisson;GK;26.0;2543;0;0.0;1;0.04;0.04;28.3;4.0;0.14;4.0;0.0;1.0;0.04;1.0;0.0;794.0;85.8;22277.0;12306.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;20.0;29;2.48;0.0;0.0;0.0;Goalkeeper;60.0;M;60.0;4.0943445622221
69;Allan;Allan;MF;28.0;1280;2;0.14;1;0.07;0.21;14.2;41.0;2.88;36.0;4.0;3.0;0.21;3.0;0.0;718.0;86.6;13383.0;3236.0;9;0.0;58.8;7;0.84;0.17;36;17.0;26.0;25.5;23;1.52;17.0;18.0;3.0;Midfielder;40.0;M;40.0;3.6888794541139363
70;Allan Nyom;Allan Nyom;DF;31.0;2422;2;0.07;0;0.0;0.07;26.9;18.0;0.67;14.0;1.0;2.0;0.07;1.0;1.0;587.0;63.7;10641.0;4746.0;68;0.0;56.5;5;0.48;0.15;20;17.0;38.0;28.9;34;1.44;29.0;13.0;0.0;Defender;4.0;M;4.0;1.3862943611198906
71;Allan Saint-Maximin;Allan Saint-Maximin;MF;22.0;1863;3;0.14;4;0.19;0.34;20.7;88.0;4.25;52.0;22.0;10.0;0.48;6.0;1.0;356.0;72.7;6374.0;1453.0;50;0.0;25.9;20;2.22;0.07;11;5.0;21.0;24.7;26;1.46;80.0;102.0;3.0;Midfielder;30.0;M;30.0;3.4011973816621555
72;Almamy Touré;Almamy Touré;DF;23.0;1491;1;0.06;3;0.18;0.24;16.6;30.0;1.81;27.0;0.0;5.0;0.3;4.0;0.0;493.0;70.0;9150.0;4150.0;50;0.0;61.3;5;0.85;0.07;24;6.0;35.0;32.3;19;1.16;22.0;20.0;0.0;Defender;5.0;M;5.0;1.6094379124341003
73;Alphonse Areola;Alphonse Areola;GK;26.0;630;0;0.0;0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;170.0;90.5;4128.0;2403.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;7;2.25;0.0;0.0;0.0;Goalkeeper;20.0;M;20.0;2.995732273553991
74;Amadou Diawara;Amadou Diawara;MF;22.0;1518;1;0.06;1;0.06;0.12;16.9;34.0;2.02;31.0;0.0;2.0;0.12;2.0;0.0;888.0;89.2;18527.0;4264.0;2;0.0;50.0;3;0.53;0.0;32;10.0;23.0;29.9;22;1.95;6.0;10.0;0.0;Midfielder;10.0;M;10.0;2.302585092994046
75;Amadou Haidara;Amadou Haidara;MF;21.0;756;0;0.0;1;0.12;0.12;8.4;37.0;4.4;29.0;4.0;3.0;0.36;1.0;1.0;484.0;86.7;7577.0;2349.0;7;0.0;46.9;6;2.14;0.0;21;9.0;18.0;31.0;19;2.05;18.0;18.0;1.0;Midfielder;4.0;M;4.0;1.3862943611198906
