;Player;Position;Comp;Age;Min;Goals;GoalsPer90;Asists;AsistsPer90;GoalAstPer90;90s;SCA;SCA90;ShootPass;ShootDrib;GCA;GCA90;AssistPass;AssistDrib;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass;Crosses;PenaltyWon;AerialWonRate;ShootOnTarget;ShootPer90;GoalPerShoot;TacklesWon;TklDribbling;Blocks;SuccPressRatio
11;Tyler Adams;DF,MF;de Bundesliga;20;953;0.0;0.00;0;0.00;0.00;10.6;18;1.70;14;0;2;0.19;1;0;595;85.1;9793;2653;9;0;38.5;1;0.66;0.00;12;9;22;30.9
12;Sargis Adamyan;FW,MF;de Bundesliga;26;746;5.0;0.60;1;0.12;0.72;8.3;20;2.41;16;1;4;0.48;3;0;140;73.3;2008;429;6;1;25.9;10;2.41;0.25;4;4;5;21.5
13;Antonio Adán;GK;es La Liga;32;25;0.0;0.00;0;0.00;0.00;0.3;0;0.00;0;0;0;0.00;0;0;4;66.7;121;98;0;0;;0;0.00;;0;0;0;
14;Bobby Adekanye;FW;it Serie A;20;188;1.0;0.48;0;0.00;0.48;2.1;6;2.87;3;0;0;0.00;0;0;41;89.1;546;68;1;0;14.3;4;2.39;0.20;3;1;0;16.7
15;Claud Adjapong;DF;it Serie A;21;231;0.0;0.00;0;0.00;0.00;2.6;1;0.39;0;1;0;0.00;0;0;61;76.3;1113;358;2;0;66.7;1;1.17;0.00;3;0;5;24.0
16;Amine Adli;MF,FW;fr Ligue 1;19;46;0.0;0.00;0;0.00;0.00;0.5;3;5.87;2;0;0;0.00;0;0;21;77.8;336;127;1;0;50.0;0;0.00;;0;0;0;23.5
17;Yacine Adli;MF,FW;fr Ligue 1;19;1,020;3.0;0.26;3;0.26;0.53;11.3;38;3.35;25;4;7;0.62;3;2;460;79.2;8420;1964;11;0;39.1;6;1.59;0.17;18;10;11;26.2
18;Adrián;GK;eng Premier League;32;875;0.0;0.00;0;0.00;0.00;9.7;2;0.21;2;0;0;0.00;0;0;227;72.3;6819;3815;0;0;;0;0.00;;0;0;0;0.0
19;Aritz Aduriz;FW;es La Liga;38;208;1.0;0.43;0;0.00;0.43;2.3;2;0.87;1;1;0;0.00;0;0;33;57.9;428;88;1;0;76.9;3;2.60;0.17;1;0;0;25.0
20;Lumor Agbenyenu;DF;es La Liga;22;1,805;1.0;0.05;0;0.00;0.05;20.1;33;1.65;23;2;0;0.00;0;0;709;73.2;12417;6167;54;0;48.3;2;0.70;0.07;23;18;37;29.3
21;Martin Agirregabiria;DF;es La Liga;23;2,099;1.0;0.04;1;0.04;0.09;23.3;23;0.99;18;2;3;0.13;3;0;722;71.2;12629;6069;30;0;53.5;1;0.13;0.33;22;25;39;24.2
22;Lucien Agoume;MF;it Serie A;17;68;0.0;0.00;0;0.00;0.00;0.8;2;2.65;2;0;1;1.32;1;0;36;92.3;671;201;1;0;100.0;0;0.00;;3;1;3;13.3
23;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;0;0;0.0;0;5.63;0.00;1;0;1;27.3
24;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;0;0;0.0;0;5.63;0.00;18;10;12;21.2
25;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;0;0;0.0;2;1.35;0.10;1;0;1;27.3
26;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;0;0;0.0;2;1.35;0.10;18;10;12;21.2
27;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;10;0;40.0;0;5.63;0.00;1;0;1;27.3
28;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;10;0;40.0;0;5.63;0.00;18;10;12;21.2
29;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;10;0;40.0;2;1.35;0.10;1;0;1;27.3
30;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;10;0;40.0;2;1.35;0.10;18;10;12;21.2
31;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;0;0;0.0;0;5.63;0.00;1;0;1;27.3
32;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;0;0;0.0;0;5.63;0.00;18;10;12;21.2
33;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;0;0;0.0;2;1.35;0.10;1;0;1;27.3
34;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;0;0;0.0;2;1.35;0.10;18;10;12;21.2
35;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;10;0;40.0;0;5.63;0.00;1;0;1;27.3
36;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;10;0;40.0;0;5.63;0.00;18;10;12;21.2
37;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;10;0;40.0;2;1.35;0.10;1;0;1;27.3
38;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;10;0;40.0;2;1.35;0.10;18;10;12;21.2
39;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;0;0;0.0;0;5.63;0.00;1;0;1;27.3
40;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;0;0;0.0;0;5.63;0.00;18;10;12;21.2
41;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;0;0;0.0;2;1.35;0.10;1;0;1;27.3
42;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;0;0;0.0;2;1.35;0.10;18;10;12;21.2
43;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;10;0;40.0;0;5.63;0.00;1;0;1;27.3
44;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;10;0;40.0;0;5.63;0.00;18;10;12;21.2
45;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;10;0;40.0;2;1.35;0.10;1;0;1;27.3
46;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;10;0;40.0;2;1.35;0.10;18;10;12;21.2
47;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;0;0;0.0;0;5.63;0.00;1;0;1;27.3
48;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;0;0;0.0;0;5.63;0.00;18;10;12;21.2
49;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;0;0;0.0;2;1.35;0.10;1;0;1;27.3
50;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;0;0;0.0;2;1.35;0.10;18;10;12;21.2
51;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;10;0;40.0;0;5.63;0.00;1;0;1;27.3
52;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;10;0;40.0;0;5.63;0.00;18;10;12;21.2
53;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;10;0;40.0;2;1.35;0.10;1;0;1;27.3
54;Kevin Agudelo;MF,FW;it Serie A;20;64;0.0;0.00;0;0.00;0.00;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;10;0;40.0;2;1.35;0.10;18;10;12;21.2
55;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;0;0;0.0;0;5.63;0.00;1;0;1;27.3
56;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;0;0;0.0;0;5.63;0.00;18;10;12;21.2
57;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;0;0;0.0;2;1.35;0.10;1;0;1;27.3
58;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;0;0;0.0;2;1.35;0.10;18;10;12;21.2
59;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;10;0;40.0;0;5.63;0.00;1;0;1;27.3
60;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;10;0;40.0;0;5.63;0.00;18;10;12;21.2
61;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;10;0;40.0;2;1.35;0.10;1;0;1;27.3
62;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;29;80.6;458;141;10;0;40.0;2;1.35;0.10;18;10;12;21.2
63;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;0;0;0.0;0;5.63;0.00;1;0;1;27.3
64;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;0;0;0.0;0;5.63;0.00;18;10;12;21.2
65;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;0;0;0.0;2;1.35;0.10;1;0;1;27.3
66;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;0;0;0.0;2;1.35;0.10;18;10;12;21.2
67;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;10;0;40.0;0;5.63;0.00;1;0;1;27.3
68;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;10;0;40.0;0;5.63;0.00;18;10;12;21.2
69;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;10;0;40.0;2;1.35;0.10;1;0;1;27.3
70;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;0.7;6;8.44;4;2;1;1.41;1;0;245;81.4;3840;902;10;0;40.0;2;1.35;0.10;18;10;12;21.2
71;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;0;0;0.0;0;5.63;0.00;1;0;1;27.3
72;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;0;0;0.0;0;5.63;0.00;18;10;12;21.2
73;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;0;0;0.0;2;1.35;0.10;1;0;1;27.3
74;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;0;0;0.0;2;1.35;0.10;18;10;12;21.2
75;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;10;0;40.0;0;5.63;0.00;1;0;1;27.3
76;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;10;0;40.0;0;5.63;0.00;18;10;12;21.2
77;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;10;0;40.0;2;1.35;0.10;1;0;1;27.3
78;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;29;80.6;458;141;10;0;40.0;2;1.35;0.10;18;10;12;21.2
79;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;0;0;0.0;0;5.63;0.00;1;0;1;27.3
80;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;0;0;0.0;0;5.63;0.00;18;10;12;21.2
81;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;0;0;0.0;2;1.35;0.10;1;0;1;27.3
82;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;0;0;0.0;2;1.35;0.10;18;10;12;21.2
83;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;10;0;40.0;0;5.63;0.00;1;0;1;27.3
84;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;10;0;40.0;0;5.63;0.00;18;10;12;21.2
85;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;10;0;40.0;2;1.35;0.10;1;0;1;27.3
86;Kevin Agudelo;MF,FW;it Serie A;20;666;1.0;0.14;1;0.14;0.27;7.4;31;4.19;21;5;2;0.27;1;0;245;81.4;3840;902;10;0;40.0;2;1.35;0.10;18;10;12;21.2
87;Nayef Aguerd;DF;fr Ligue 1;23;957;1.0;0.09;0;0.00;0.09;10.6;3;0.28;3;0;1;0.09;1;0;487;85.1;11842;4422;0;0;75.9;1;0.47;0.20;11;6;21;26.4
88;Sergio Agüero;FW;eng Premier League;31;1,452;16.0;0.99;3;0.19;1.18;16.1;51;3.16;28;9;8;0.50;4;1;284;77.4;3746;786;8;2;12.5;25;4.52;0.19;5;1;15;25.2
89;Ruben Aguilar;DF;fr Ligue 1;26;1,072;0.0;0.00;2;0.17;0.17;11.9;24;2.01;22;0;3;0.25;3;0;666;84.2;11011;4090;52;0;51.6;3;0.59;0.00;28;18;11;35.0
90;Emmanuel Agyemang-Badu;MF,FW;it Serie A;28;230;0.0;0.00;0;0.00;0.00;2.6;3;1.17;3;0;0;0.00;0;0;91;87.5;1746;291;0;0;29.4;0;0.00;;1;0;4;13.3
91;Jean-Eudes Aholou;MF;fr Ligue 1;25;630;1.0;0.14;1;0.14;0.29;7.0;12;1.71;7;1;1;0.14;0;0;262;83.7;4836;830;2;0;54.5;4;1.43;0.10;19;4;8;38.5
92;Joseph Aidoo;DF;es La Liga;23;2,502;0.0;0.00;1;0.04;0.04;27.8;13;0.47;9;1;2;0.07;2;0;1073;87.7;23986;6718;1;0;54.1;1;0.36;0.00;26;8;42;35.5
93;Ola Aina;DF;it Serie A;22;2,079;0.0;0.00;2;0.09;0.09;23.1;46;1.99;25;4;7;0.30;3;0;863;74.4;15454;6409;70;0;53.1;2;0.52;0.00;28;24;70;29.0
94;Youssef Aït Bennasser;MF;fr Ligue 1;23;536;0.0;0.00;1;0.17;0.17;6.0;8;1.34;8;0;2;0.34;2;0;357;86.4;6250;1555;1;0;53.3;0;0.34;0.00;7;2;12;29.3
95;Rayan Aït Nouri;DF;fr Ligue 1;18;1,282;0.0;0.00;2;0.14;0.14;14.2;22;1.54;17;0;4;0.28;4;0;625;78.0;10424;4748;38;0;70.4;0;0.28;0.00;18;6;32;37.1
96;Albian Ajeti;MF,FW;eng Premier League;22;139;0.0;0.00;0;0.00;0.00;1.5;2;1.29;2;0;0;0.00;0;0;15;83.3;152;8;0;0;10.0;0;1.94;0.00;0;0;0;4.8
97;Ludovic Ajorque;FW;fr Ligue 1;25;2,058;8.0;0.35;4;0.17;0.52;22.9;36;1.57;27;3;10;0.44;6;1;371;72.9;5861;927;18;1;61.2;18;1.92;0.16;14;3;11;26.8
98;Manuel Akanji;DF;de Bundesliga;24;2,309;0.0;0.00;1;0.04;0.04;25.7;10;0.39;9;0;3;0.12;3;0;1767;91.6;36920;11998;0;0;56.9;2;0.39;0.00;23;17;35;38.6
99;Marley Aké;FW,MF;fr Ligue 1;18;99;0.0;0.00;0;0.00;0.00;1.1;4;3.64;3;1;1;0.91;1;0;25;86.2;414;68;1;0;0.0;0;2.73;0.00;2;1;0;26.7
100;Nathan Aké;DF;eng Premier League;24;2,503;2.0;0.07;2;0.07;0.14;27.8;13;0.47;7;1;2;0.07;1;0;1042;88.1;21690;7029;2;0;52.5;7;0.86;0.08;11;7;59;29.7
101;Chadrac Akolo;FW,MF;fr Ligue 1;24;544;2.0;0.33;1;0.17;0.50;6.0;17;2.81;9;2;4;0.66;1;1;172;83.5;2703;811;7;0;28.6;4;1.49;0.22;13;3;8;30.7
102;Kevin Akpoguma;DF;de Bundesliga;24;1,142;0.0;0.00;0;0.00;0.00;12.7;4;0.32;4;0;0;0.00;0;0;659;87.4;12650;3663;1;0;44.7;0;0.16;0.00;11;15;31;33.1
103;David Alaba;DF;de Bundesliga;27;2,498;1.0;0.04;1;0.04;0.07;27.8;38;1.37;33;1;2;0.07;1;0;2250;90.8;47127;15534;25;0;44.9;7;0.65;0.06;17;10;40;38.5
104;Sofiane Alakouch;DF;fr Ligue 1;21;1,400;0.0;0.00;0;0.00;0.00;15.6;25;1.61;22;1;3;0.19;3;0;664;82.0;11883;4858;27;0;28.6;4;0.64;0.00;30;25;23;31.2
105;Lucas Alario;FW;de Bundesliga;26;1,174;7.0;0.54;1;0.08;0.61;13.0;30;2.30;21;2;3;0.23;1;0;227;73.7;3353;375;5;0;40.0;18;3.60;0.13;2;3;9;27.6
106;Jordi Alba;DF;es La Liga;30;2,187;2.0;0.08;5;0.21;0.29;24.3;45;1.85;44;0;5;0.21;5;0;1864;87.1;30213;9511;79;0;41.7;3;0.29;0.29;14;8;40;29.4
107;Luis Alberto;MF;it Serie A;26;3,113;6.0;0.17;15;0.43;0.61;34.6;206;5.96;135;16;29;0.84;22;0;1792;79.2;33398;11824;44;0;34.8;27;2.86;0.05;34;22;43;29.8
108;Raúl Albiol;DF;es La Liga;33;3,237;1.0;0.03;0;0.00;0.03;36.0;16;0.44;16;0;1;0.03;1;0;1619;86.0;41783;12195;4;0;65.5;4;0.39;0.07;33;18;40;30.6
109;Marc Albrighton;MF,DF;eng Premier League;29;867;0.0;0.00;3;0.31;0.31;9.6;26;2.70;22;1;5;0.52;5;0;344;67.9;6189;2444;49;0;28.6;2;1.04;0.00;11;7;18;34.0
110;Paco Alcácer;FW;es La Liga;25;924;4.0;0.39;1;0.10;0.49;10.3;16;1.56;14;0;3;0.29;2;0;181;78.7;2575;372;3;1;30.8;8;2.44;0.16;2;1;10;29.5
111;Paco Alcácer;FW;es La Liga;25;924;4.0;0.39;1;0.10;0.49;10.3;16;1.56;14;0;3;0.29;2;0;181;78.7;2575;372;3;1;30.8;8;2.44;0.16;2;1;3;25.0
112;Paco Alcácer;FW;es La Liga;25;924;4.0;0.39;1;0.10;0.49;10.3;16;1.56;14;0;3;0.29;2;0;181;78.7;2575;372;3;1;30.8;7;2.55;0.33;2;1;10;29.5
113;Paco Alcácer;FW;es La Liga;25;924;4.0;0.39;1;0.10;0.49;10.3;16;1.56;14;0;3;0.29;2;0;181;78.7;2575;372;3;1;30.8;7;2.55;0.33;2;1;3;25.0
114;Paco Alcácer;FW;es La Liga;25;924;4.0;0.39;1;0.10;0.49;10.3;16;1.56;14;0;3;0.29;2;0;181;78.7;2575;372;2;0;21.1;8;2.44;0.16;2;1;10;29.5
115;Paco Alcácer;FW;es La Liga;25;924;4.0;0.39;1;0.10;0.49;10.3;16;1.56;14;0;3;0.29;2;0;181;78.7;2575;372;2;0;21.1;8;2.44;0.16;2;1;3;25.0
116;Paco Alcácer;FW;es La Liga;25;924;4.0;0.39;1;0.10;0.49;10.3;16;1.56;14;0;3;0.29;2;0;181;78.7;2575;372;2;0;21.1;7;2.55;0.33;2;1;10;29.5
117;Paco Alcácer;FW;es La Liga;25;924;4.0;0.39;1;0.10;0.49;10.3;16;1.56;14;0;3;0.29;2;0;181;78.7;2575;372;2;0;21.1;7;2.55;0.33;2;1;3;25.0
118;Paco Alcácer;FW;es La Liga;25;924;4.0;0.39;1;0.10;0.49;10.3;16;1.56;14;0;3;0.29;2;0;84;75.0;1133;186;3;1;30.8;8;2.44;0.16;2;1;10;29.5
119;Paco Alcácer;FW;es La Liga;25;924;4.0;0.39;1;0.10;0.49;10.3;16;1.56;14;0;3;0.29;2;0;84;75.0;1133;186;3;1;30.8;8;2.44;0.16;2;1;3;25.0
120;Paco Alcácer;FW;es La Liga;25;924;4.0;0.39;1;0.10;0.49;10.3;16;1.56;14;0;3;0.29;2;0;84;75.0;1133;186;3;1;30.8;7;2.55;0.33;2;1;10;29.5
121;Paco Alcácer;FW;es La Liga;25;924;4.0;0.39;1;0.10;0.49;10.3;16;1.56;14;0;3;0.29;2;0;84;75.0;1133;186;3;1;30.8;7;2.55;0.33;2;1;3;25.0
122;Paco Alcácer;FW;es La Liga;25;924;4.0;0.39;1;0.10;0.49;10.3;16;1.56;14;0;3;0.29;2;0;84;75.0;1133;186;2;0;21.1;8;2.44;0.16;2;1;10;29.5
123;Paco Alcácer;FW;es La Liga;25;924;4.0;0.39;1;0.10;0.49;10.3;16;1.56;14;0;3;0.29;2;0;84;75.0;1133;186;2;0;21.1;8;2.44;0.16;2;1;3;25.0
124;Paco Alcácer;FW;es La Liga;25;924;4.0;0.39;1;0.10;0.49;10.3;16;1.56;14;0;3;0.29;2;0;84;75.0;1133;186;2;0;21.1;7;2.55;0.33;2;1;10;29.5
