;Player;Crosses;PenaltyWon;AerialWonRate
1448;Rony Lopes;0;0;20.0
1449;Adrián López;18;0;39.1
1450;David López;5;0;56.2
1451;Diego López;0;0;
1452;Javi López;2;0;100.0
1453;Javi López;24;0;64.6
1454;Lluis López;0;0;66.7
1455;Maxime Lopez;18;0;13.3
1456;Pau López;0;0;
1457;Roberto López;1;0;50.0
1458;Unai López;42;0;50.0
1459;Iker Losada;0;0;100.0
1460;Albert Lottin;0;0;100.0
1461;Imran Louza;23;0;29.3
1462;Matteo Lovato;0;0;0.0
1463;Dejan Lovren;0;0;65.0
1464;Eduard Löwen;7;0;41.2
1465;Eduard Löwen;2;0;71.4
1466;Matthew Lowton;28;0;63.2
1467;Hirving Lozano;34;0;38.5
1468;Pol Lozano;0;0;100.0
1469;Jan Luca Rumpf;0;0;33.3
1470;Lucas;0;0;
1471;Jean Lucas;3;0;12.5
1472;Fabio Lucioni;3;0;56.8
1473;José Luis Gayà;70;1;37.3
1474;José Luis Morales;72;0;42.1
1475;José Luis Palomino;7;0;68.0
1476;José Luis Rodríguez;0;0;0.0
1477;David Luiz;5;0;63.0
1478;Douglas Luiz;17;0;49.2
1479;Jordan Lukaku;15;0;66.7
1480;Romelu Lukaku;31;0;53.2
1481;Dodi Lukebakio;44;0;36.4
1482;Saša Lukić;12;0;30.2
1483;Senad Lulić;61;0;59.3
1484;John Lundstram;33;0;42.6
1485;Sebastiano Luperto;4;0;35.3
1486;Arnaud Lusamba;6;0;29.4
1487;Andreas Luthe;0;0;
1488;Lyanco;4;0;54.3
1489;Charalambos Lykogiannis;32;0;51.0
1490;Yann M'Vila;0;0;63.5
1491;Alexis Mac Allister;9;0;50.0
1492;Darwin Machís;76;0;32.8
1493;Yvann Macon;1;0;100.0
1494;James Maddison;65;0;17.1
1495;Lisandro Magallán;0;0;61.1
1496;Francesco Magnanelli;4;0;60.0
1497;Giangiacomo Magnani;0;0;100.0
1498;Giangiacomo Magnani;0;0;90.9
1499;Hugo Magnetti;6;0;60.0
1500;Harry Maguire;1;0;73.7
1501;Abdallahi Mahmoud;0;0;57.1
1502;Riyad Mahrez;52;5;30.3
1503;Thiago Maia;0;0;50.0
1504;Arne Maier;7;0;22.2
1505;Habib Maïga;39;0;50.7
1506;Mike Maignan;0;0;100.0
1507;Ainsley Maitland-Niles;20;0;51.9
1508;Josh Maja;0;0;17.9
1509;Abdul Majeed Waris;4;0;16.7
1510;Žan Majer;24;1;47.8
1511;Jean-Victor Makengo;6;0;9.5
1512;Nemanja Maksimović;5;0;44.6
1513;Nikola Maksimović;12;0;66.1
1514;Kévin Malcuit;13;0;60.0
1515;Daniel Maldini;0;0;0.0
1516;Ruslan Malinovskyi;33;3;35.1
1517;Yunus Mallı;4;0;27.3
1518;Hugo Mallo;59;0;60.0
1519;Streli Mamba;4;1;38.6
1520;Hianga Mananga Mbock;0;0;90.0
1521;Vincent Manceau;41;0;51.5
1522;Gianluca Mancini;4;0;75.7
1523;Marco Mancosu;40;2;39.0
1524;Steve Mandanda;0;0;0.0
1525;Reinildo Mandava;21;0;51.5
1526;Aïssa Mandi;3;0;56.4
1527;Rolando Mandragora;26;0;50.0
1528;Sadio Mané;52;2;30.7
1529;Eliaquim Mangala;0;0;66.7
1530;Thomas Mangani;47;0;40.0
1531;Massimiliano Mangraviti;8;0;48.8
1532;Kostas Manolas;1;0;65.3
1533;Javier Manquillo;34;0;45.0
1534;Giacomo Manzari;0;0;50.0
1535;Myziane Maolida;12;0;33.3
1536;Faitout Maouassa;48;0;60.0
1537;Fernando Marçal;26;0;80.0
1538;Marcelo;52;2;58.8
1539;Marcelo;1;0;78.1
1540;Solly March;48;0;50.0
1541;Gian Marco Ferrari;5;1;52.5
1542;Óscar de Marcos;13;0;35.0
1543;Dario Maresic;0;0;33.3
1544;Miguel Marí;0;0;
1545;Pablo Marí;0;0;57.1
1546;José María Giménez;0;0;76.4
1547;Mariano;0;0;40.0
1548;Adrian Mariappa;18;0;56.2
1549;Jordan Marié;1;0;16.7
1550;Federico Marigosu;2;0;0.0
1551;Adrián Marín;16;0;50.0
1552;Guillermo Maripán;0;0;75.0
1553;Guillermo Maripán;5;0;53.5
1554;Marlon;0;0;42.9
1555;Omar Marmoush;1;0;0.0
1556;Gonzalo Maroni;2;0;33.3
1557;Marquinhos;5;0;56.2
1558;Bruno Martella;41;0;42.9
1559;Roger Martí;23;2;31.6
1560;Anthony Martial;20;1;25.9
1561;Aarón Martín;59;0;40.5
1562;Daniel Martín;0;0;
1563;David Martin;0;0;
1564;Jonas Martin;2;0;75.0
1565;Jonas Martin;5;0;50.0
1566;Josh Martin;0;0;
1567;Martinelli;16;0;17.9
1568;Álex Martínez;3;0;
1569;Emiliano Martínez;0;0;
1570;Iñigo Martínez;15;1;63.9
1571;Javi Martínez;0;0;100.0
1572;Javi Martínez;0;0;73.0
1573;Lautaro Martínez;23;2;29.5
1574;Pablo Martinez;0;0;59.6
1575;Pablo Martínez;0;0;0.0
1576;Gelson Martins;49;0;29.6
1577;Adam Marušić;16;0;46.2
1578;Omar Mascarell;5;0;62.0
1579;Andrea Masiello;10;0;48.0
1580;Andrea Masiello;2;0;68.8
1581;Adam Masina;60;0;69.5
1582;Jordi Masip;0;0;
1583;Arthur Masuaku;21;0;52.4
1584;Jaime Mata;47;1;42.3
1585;Juan Mata;14;0;30.0
1586;Aleš Matějů;20;0;60.5
1587;Jean-Philippe Mateta;3;0;46.2
1588;Nemanja Matić;2;0;60.0
1589;Joël Matip;0;0;90.2
1590;Rabbi Matondo;12;0;22.2
1591;Alessandro Matri;1;0;57.1
1592;Federico Mattiello;22;0;40.0
1593;Blaise Matuidi;33;0;39.6
1594;Neal Maupay;15;0;16.7
1595;Stephy Mavididi;11;0;21.2
1596;Philipp Max;84;0;45.3
1597;Eric Maxim Choupo-Moting;5;0;50.0
1598;Alexandru Maxim;2;0;0.0
1599;Kévin Mayi;0;0;
1600;Borja Mayoral;17;0;27.2
1601;Luca Mazzitelli;1;0;
1602;Kevin Mbabu;64;1;58.3
1603;Kylian Mbappé;67;1;50.0
1604;Ibrahima Mbaye;7;0;57.1
1605;Loïc Mbe Soh;1;0;33.3
1606;Isaac Mbenza;3;0;
1607;Nathanael Mbuku;4;0;37.5
1608;James McArthur;34;1;41.9
1609;Oliver McBurnie;11;0;49.3
1610;Alex McCarthy;0;0;
1611;James McCarthy;9;0;45.5
1612;John McGinn;42;0;42.3
1613;David McGoldrick;11;0;37.8
1614;Michael McGovern;0;0;
1615;Weston McKennie;13;0;63.9
1616;Kenny McLean;30;0;50.0
1617;Dwight McNeil;130;0;50.0
1618;Scott McTominay;9;1;59.2
1619;Biagio Meccariello;7;0;40.0
1620;Gary Medel;2;0;56.3
1621;Ben Mee;3;0;64.7
1622;Joshua Mees;2;0;45.0
1623;Admir Mehmedi;17;0;41.8
1624;Soualiho Meïté;15;0;57.7
1625;Farid El Melali;6;0;50.0
1626;Óscar Melendo;8;0;25.9
1627;Gonzalo Melero;2;0;40.4
1628;Arthur Melo;4;0;12.5
1629;Pedro Mendes;8;0;45.0
1630;Thiago Mendes;6;0;73.9
1631;Brais Méndez;21;0;39.7
1632;Édgar Méndez;11;0;35.1
1633;Stiven Mendoza;14;0;29.6
1634;Alexandre Mendy;5;0;45.6
1635;Benjamin Mendy;69;0;51.5
1636;Edouard Mendy;0;0;
1637;Ferland Mendy;51;1;53.5
1638;Nampalys Mendy;1;0;83.3
1639;Hamza Mendyl;37;0;28.6
1640;Chris Mepham;0;0;63.2
1641;Levent Mercan;1;0;0.0
1642;Jorge Meré;2;0;35.7
1643;Alex Meret;0;0;
1644;Fran Mérida;14;0;52.6
1645;Mikel Merino;22;1;63.2
1646;Sabin Merino;1;0;40.0
1647;Yıldırım Mert Çetin;0;0;60.0
1648;Dries Mertens;48;2;23.1
1649;Roque Mesa;33;0;16.2
1650;Lionel Messi;62;1;60.0
1651;Thomas Meunier;50;0;51.9
1652;Mexer;6;0;64.7
1653;Max Meyer;8;0;30.0
1654;Kingsley Michael;0;0;60.0
1655;Míchel;34;0;42.1
1656;Sven Michel;17;0;35.9
1657;Miguel;3;0;18.2
1658;Florian Miguel;45;1;54.7
1659;Georges Mikautadze;0;0;
1660;Nikola Milenković;1;0;76.9
1661;Arkadiusz Milik;6;0;50.7
1662;Sergej Milinković-Savić;40;0;58.8
1663;Éder Militão;1;0;79.6
1664;Luka Milivojević;35;0;59.6
1665;Vincenzo Millico;16;0;
1666;James Milner;14;0;66.7
1667;Santi Mina;20;2;44.0
1668;Yerry Mina;4;0;64.0
1669;Takumi Minamino;4;0;50.0
1670;Tyrone Mings;6;0;62.3
1671;Jorge Miramón;61;0;45.8
1672;Juan Miranda;22;0;30.0
1673;Antonio Mirante;0;0;
1674;Simone Missiroli;6;2;63.3
1675;Tyrick Mitchell;4;0;14.3
1676;Stefan Mitrović;0;0;63.1
1677;Maximilian Mittelstädt;68;0;64.7
1678;Henrikh Mkhitaryan;3;0;66.7
1679;Henrikh Mkhitaryan;18;0;31.6
1680;Anthony Modeste;5;0;51.7
1681;Luka Modrić;30;1;32.4
1682;Kevin Möhwald;2;0;
1683;Niklas Moisander;1;0;50.0
1684;Jorge Molina;24;1;39.5
1685;Florent Mollet;49;0;38.9
1686;Jon Moncayola;8;0;45.3
1687;Gabriele Moncini;0;0;62.5
1688;Thomas Monconduit;12;0;59.0
1689;Nacho Monreal;3;0;50.0
1690;Nacho Monreal;47;0;65.6
1691;Joan Monterde Raygal;0;0;0.0
1692;Ilario Monterisi;0;0;
1693;Ángel Montoro;18;0;40.0
1694;Martín Montoya;46;0;58.7
1695;Simon Moore;0;0;
1696;Aaron Mooy;53;0;33.3
1697;Wesley Moraes;7;0;38.7
1698;Alfredo Morales;10;1;57.8
1699;Álvaro Morata;15;1;53.7
1700;Jan Morávek;0;0;60.0
1701;Steven Moreira;22;0;30.8
1702;Jérémy Morel;13;0;56.1
1703;Alberto Moreno;31;1;48.5
1704;Álex Moreno;65;0;38.8
1705;Gerard Moreno;54;2;38.8
1706;Mateu Morey;9;0;20.0
1707;Wes Morgan;0;0;51.7
1708;Manu Morlanes;0;0;14.3
1709;Raúl Moro;0;0;0.0
1710;Loren Morón;11;0;32.6
1711;Leonardo Morosini;0;0;50.0
1712;Ravel Morrison;0;0;
1713;Victor Moses;27;2;50.0
1714;Lebo Mothiba;14;0;41.9
1715;Harold Moukoudi;1;0;69.8
1716;Jessy Moulin;0;0;
1717;Mason Mount;66;1;26.4
1718;Lucas Moura;27;0;40.7
1719;Lys Mousset;10;0;13.4
1720;Wesley Moustache;0;0;33.3
1721;João Moutinho;80;0;38.3
1722;Samuel Moutoussamy;4;0;12.5
1723;Toni Moya;0;0;
1724;Javi Moyano;33;0;56.8
1725;Nordi Mukiele;34;0;79.0
1726;Benoît Mukinayi;0;0;67.1
1727;Mert Müldür;22;1;50.0
1728;Florian Müller;0;0;
1729;Thomas Müller;96;0;43.5
1730;Marshall Munetsi;5;0;66.7
1731;Iker Muniain;31;0;27.6
1732;Aihen Muñoz;37;0;50.0
1733;Javier Muñoz;0;0;
1734;Simone Muratore;2;0;0.0
1735;Alessandro Murgia;24;0;52.9
1736;Luis Muriel;33;1;41.2
1737;Jeison Murillo;4;0;52.0
1738;Jeison Murillo;0;0;59.8
1739;Glenn Murray;11;0;41.7
1740;Nicola Murru;77;0;53.5
1741;Mateo Musacchio;0;0;58.2
1742;Torben Müsel;0;0;
1743;Jamal Musiala;0;0;
1744;Juan Musso;0;0;
1745;Shkodran Mustafi;0;0;75.6
1746;Yoshinori Mutō;1;0;14.3
1747;Yvon Mvogo;0;0;
1748;Phillipp Mwene;6;0;33.3
1749;Obite N'Dicka;9;0;61.8
1750;Kévin N'Doram;2;0;50.8
1751;Abdallah N'dour;19;0;55.6
1752;Ferris N'Goma;0;0;
1753;Nathan N'Goumou;0;0;0.0
1754;Georges-Kévin N'Koudou;0;0;
1755;Stanley N'Soki;3;0;75.8
1756;Nacho;13;0;65.2
1757;Nacho;58;0;33.3
1758;Radja Nainggolan;49;0;36.6
1759;Marvelous Nakamba;1;0;32.7
1760;Naldo;2;0;56.9
1761;Nahitan Nández;85;0;28.3
1762;Matija Nastasić;0;0;59.4
1763;Marc Navarro;3;0;28.6
1764;Ximo Navarro;15;0;56.1
1765;Jesús Navas;193;0;35.8
1766;Keylor Navas;0;0;
1767;Raúl Navas;0;0;56.5
1768;Michel Ndary Adopo;0;0;100.0
1769;Papa Ndiaga Yade;0;0;0.0
1770;Wilfred Ndidi;2;0;55.4
1771;Emanuele Ndoj;6;0;35.3
1772;Tanguy Ndombele;7;0;41.7
1773;Reiss Nelson;12;0;0.0
1774;Ilija Nestorovski;8;0;42.6
1775;Neto;0;0;
1776;Pedro Neto;35;0;20.5
1777;Manuel Neuer;0;0;
1778;Florian Neuhaus;14;0;35.1
1779;Carlos Neva;53;0;42.0
1780;Rúben Neves;16;0;47.2
1781;Neymar;28;1;50.0
1782;Jeremy Ngakia;9;0;42.1
1783;Jessic Ngankam;5;0;0.0
1784;Muzinga Ngonda;5;0;60.0
1785;Ahmad Ngouyamsa;0;;
1786;Opa Nguette;14;1;30.6
1787;Moussa Niakhate;4;0;67.7
1788;Ibrahima Niane;11;1;37.5
1789;M'Baye Niang;9;2;42.0
1790;Cheikh Niasse;0;0;
1791;Oumar Niasse;1;0;0.0
1792;Moritz Nicolas;0;0;
1793;Florian Niederlechner;22;2;38.5
1794;Saúl Ñíguez;29;0;52.2
1795;Casimir Ninga;10;0;34.6
1796;Fernando Niño;1;0;0.0
1797;Timothée Nkada;3;0;20.0
1798;Eddie Nketiah;3;0;42.9
1799;Nicolas Nkoulou;0;0;66.3
1800;Christopher Nkunku;40;1;35.8
1801;Lukas Nmecha;1;0;28.6
1802;Mark Noble;21;1;37.9
1803;Nolito;15;1;35.0
1804;Nolito;1;0;0.0
1805;Arnaud Nordin;22;2;25.0
1806;Håvard Nordtveit;1;0;70.4
1807;Oliver Norwood;73;0;58.9
1808;Alexander Nübel;0;0;
1809;Kasim Nuhu;0;0;61.1
1810;Unai Núñez;0;0;61.2
1811;Bram Nuytinck;3;0;51.3
1812;Gerzino Nyamsi;0;0;33.3
1813;Ørjan Nyland;0;0;
1814;Allan Nyom;68;0;56.5
1815;Steven Nzonzi;0;0;69.0
1816;Jack O'Connell;42;0;72.8
1817;Michael Obafemi;5;0;16.3
1818;Pedro Obiang;4;0;43.5
1819;Jan Oblak;0;0;
1820;Rafael Obrador;1;0;
1821;Lucas Ocampos;81;1;44.1
1822;Bastian Oczipka;66;0;36.8
1823;Álvaro Odriozola;12;0;25.0
1824;Álvaro Odriozola;4;0;33.3
1825;Kelvin Ofori;0;0;33.3
1826;Angelo Ogbonna;2;0;68.4
1827;Stefano Okaka;10;0;36.5
1828;Kwasi Okyere Wriedt;0;0;
1829;Lucas Olaza;113;1;52.1
1830;Oier Olazábal;0;0;
1831;Christian Oliva;2;0;77.8
1832;Kiko Olivas;0;0;51.0
1833;Cauly Oliveira Souza;5;0;35.3
1834;Paulo Oliveira;1;0;63.5
1835;Mathías Olivera;37;0;55.0
1836;Maximiliano Olivera;2;0;
1837;Marco Olivieri;2;0;
1838;Dani Olmo;8;0;59.3
1839;Robin Olsen;0;0;
1840;Kenneth Omeruo;3;0;69.9
1841;Jean Onana;0;0;100.0
1842;Karim Onisiwo;25;1;37.8
1843;Javier Ontiveros;27;1;23.8
1844;Henry Onyekuru;2;0;0.0
1845;Nicholas Opoku;3;0;66.7
1846;Nicholas Opoku;0;0;77.8
1847;Willi Orban;0;0;67.2
1848;Fabián Orellana;62;1;22.6
1849;Divock Origi;16;1;36.8
1850;Aimar Oroz;0;0;
1851;Riccardo Orsolini;100;3;44.4
1852;Yuya Osako;13;1;37.8
1853;Ben Osborn;11;0;56.3
1854;Victor Osimhen;20;3;37.9
1855;David Ospina;0;0;
1856;Nicolás Otamendi;1;0;68.6
1857;Otávio;4;0;46.7
1858;Paulo Otávio;11;0;60.0
1859;Abou Ouattara;0;0;
1860;Remi Oudin;12;0;27.8
1861;Remi Oudin;36;0;59.0
1862;Alexandre Oukidja;0;0;
1863;Zinédine Ould Khaled;0;0;0.0
1864;Adam Ounas;38;1;13.3
1865;Reece Oxford;0;0;75.0
1866;Alex Oxlade-Chamberlain;29;0;33.3
1867;Mikel Oyarzabal;66;0;42.5
1868;Ambroise Oyongo;45;0;47.8
1869;Mesut Özil;19;0;50.0
1870;Levin Öztunalı;42;1;50.0
1871;Pablo;2;0;77.4
1872;Fernando Pacheco;0;0;
1873;Jon Pacheco;0;0;100.0
1874;Gonçalo Paciência;17;0;41.9
1875;Daniele Padelli;0;0;
1876;Marko Pajač;47;0;33.3
1877;Vincent Pajot;1;0;85.7
1878;Vincent Pajot;2;0;46.2
1879;Rodrigo Palacio;78;0;41.5
1880;Exequiel Palacios;1;0;100.0
1881;Sergi Palencia;12;0;7.7
1882;Nicolas Pallois;3;0;55.7
1883;Emerson Palmieri;34;0;70.8
1884;Alberto Paloschi;4;2;9.1
1885;Alberto Paloschi;1;0;20.0
1886;Martin Palumbo;0;0;
1887;Goran Pandev;13;2;23.1
1888;Jonathan Panzo;0;0;40.0
1889;Sokratis Papastathopoulos;1;0;65.4
1890;Andrea Papetti;0;0;40.7
1891;Lucas Paquetá;11;0;41.1
1892;Gaëtan Paquiez;21;0;50.0
1893;Rubén Pardo;2;0;100.0
1894;Leandro Paredes;3;0;63.6
1895;Daniel Parejo;49;1;46.9
1896;Michael Parensen;3;0;61.1
1897;Miquel Parera;0;0;
1898;Marco Parolo;6;0;46.4
1899;Troy Parrott;0;0;0.0
1900;Thomas Partey;7;0;65.6
1901;Mario Pašalić;17;0;51.1
1902;Javier Pastore;6;0;25.0
1903;Patric;6;0;36.8
1904;Rui Patrício;0;0;
1905;Paulinho;5;0;22.2
1906;Paulino;3;0;50.0
1907;Gabriel Paulista;3;0;70.6
1908;Benjamin Pavard;68;0;66.4
1909;Jiří Pavlenka;0;0;
1910;Mateo Pavlović;0;0;76.5
1911;Leonardo Pavoletti;0;0;42.9
1912;Dimitri Payet;76;0;39.1
1913;Nehuén Paz;0;0;66.7
1914;Nehuén Paz;1;0;76.0
1915;Giampaolo Pazzini;0;0;30.0
1916;Mads Pedersen;5;0;0.0
1917;Alfonso Pedraza;26;0;58.6
1918;Marc Pedraza;0;0;0.0
1919;Pedro;0;0;25.0
1920;Pedro;10;0;28.6
1921;João Pedro;14;1;43.9
1922;João Pedro;3;0;40.0
1923;Pedrosa;22;0;50.0
1924;Daouda Peeters;0;0;
1925;Gianluca Pegolo;0;0;
1926;Peter Pekarík;16;1;59.1
1927;Yohann Pelé;0;0;
1928;Lorenzo Pellegrini;63;1;34.1
1929;Luca Pellegrini;90;1;51.4
1930;Théo Pellenard;17;0;75.0
1931;Andy Pelmard;0;0;27.8
1932;Federico Peluso;10;0;69.0
1933;Rubén Peña;61;0;50.0
1934;Philipp Pentke;0;0;
1935;Nicolas Pépé;59;0;24.1
1936;Luis Perea;0;0;25.0
1937;Victor Perea;42;0;29.0
1938;Mathias Pereira Lage;29;0;47.5
1939;Andreas Pereira;29;0;32.5
1940;Ricardo Pereira;41;0;48.1
1941;Gastón Pereiro;9;0;37.5
1942;Bruno Peres;36;1;18.2
1943;Roberto Pereyra;16;1;20.0
1944;Ayoze Pérez;23;0;34.3
1945;Carles Pérez;13;0;11.1
1946;Carles Pérez;1;0;10.0
1947;Iñigo Pérez;18;0;31.8
1948;Juan Pérez;0;0;
1949;Kike Pérez;2;0;22.2
1950;Lucas Pérez;64;0;26.2
1951;Rubén Pérez;8;0;55.6
1952;Samuel Pérez;0;0;
1953;Mattia Perin;0;0;
1954;Ivan Perišić;74;0;69.2
1955;Diego Perotti;28;0;50.0
1956;Romain Perraud;48;0;30.4
1957;Loïc Perrin;1;0;61.8
1958;Lucas Perrin;0;0;56.3
1959;Pavao Pervan;0;0;
1960;Matteo Pessina;27;0;34.5
1961;Andrea Petagna;31;0;40.9
1962;Nils Petersen;9;0;38.1
1963;Danijel Petković;0;0;
1964;Denis Petrić;0;0;
1965;Jacopo Petriccione;43;0;21.4
1966;Germán Pezzella;6;1;68.9
1967;Giuseppe Pezzella;5;0;100.0
1968;Giuseppe Pezzella;28;0;45.0
1969;Rayan Philippe;0;0;0.0
1970;Romain Philippoteaux;37;1;20.0
1971;Krzysztof Piątek;5;1;33.8
1972;Krzysztof Piątek;6;1;37.0
1973;Pablo Piatti;3;0;
1974;Cristiano Piccini;2;0;100.0
1975;Stefano Piccinini;0;0;
1976;Roberto Piccoli;0;0;0.0
1977;Jordan Pickford;0;0;
1978;Jérémy Pied;15;0;33.3
1979;Ronaël Pierre-Gabriel;7;0;55.6
1980;Brandon Pierrick;0;0;
1981;Erik Pieters;27;0;68.8
1982;Tomás Pina Isla;4;1;68.2
1983;Andrea Pinamonti;24;1;38.4
1984;Simone Pinna;4;0;100.0
1985;Carlo Pinsoglio;0;0;
1986;Pipa;20;0;50.0
1987;Gerard Piqué;3;0;76.2
1988;Lorenzo Pirola;0;0;
1989;Fabio Pisacane;6;0;47.4
1990;Łukasz Piszczek;19;0;54.2
1991;Claudio Pizarro;1;0;33.3
1992;Miralem Pjanić;25;1;58.1
1993;Óscar Plano;25;1;28.9
1994;Marvin Plattenhardt;49;0;51.9
1995;Alassane Pléa;38;0;29.1
1996;Thomas Pledl;7;0;0.0
1997;Daniel Podence;5;1;0.0
1998;Paul Pogba;7;2;73.0
1999;Joel Pohjanpalo;0;0;0.0
2000;Andrea Poli;16;0;36.1
2001;Matteo Politano;19;0;22.2
2002;Matteo Politano;11;0;50.0
2003;Sebastian Polter;2;1;30.6
2004;Marin Pongračić;0;0;68.2
2005;Pere Pons;8;1;54.5
2006;Nick Pope;0;0;
2007;Pedro Porro;24;0;35.7
2008;Francisco Portillo;5;0;27.3
2009;Portu;69;0;31.1
2010;Stefan Posch;7;0;55.2
2011;Sergio Postigo;2;0;56.5
2012;Florent Poulolo;0;0;
2013;Yussuf Poulsen;10;1;40.0
2014;Maxime Poundjé;0;0;0.0
2015;Darío Poveda;0;0;66.7
2016;Alejandro Pozo Pozo;50;0;19.0
2017;Alejandro Pozo Pozo;3;0;
2018;Percy Prado;1;0;33.3
2019;Dennis Praet;9;0;35.7
2020;Abdón Prats;1;0;43.2
2021;Sanjin Prcić;0;0;100.0
2022;Nicolas de Préville;46;0;48.8
2023;Sebastian Prödl;0;0;80.0
2024;Kai Pröger;85;1;24.0
2025;Grischa Prömel;1;0;52.6
2026;Davy Pröpper;28;0;48.0
2027;Antonio Puertas;42;0;35.8
2028;Riqui Puig;0;0;0.0
2029;Teemu Pukki;14;0;10.7
2030;Erick Pulgar;49;0;53.8
2031;Christian Pulisic;26;2;25.4
2032;Ignacio Pussetto;8;0;42.1
2033;Ignacio Pussetto;4;0;25.0
2034;Fabio Quagliarella;29;4;37.3
2035;Robin Quaison;12;0;30.3
2036;Domingos Quina;0;0;0.0
2037;Quini;11;0;57.1
2038;Xavi Quintillà;63;0;21.6
2039;Quique;3;0;36.2
2040;Adrien Rabiot;20;0;60.5
2041;Nemanja Radoja;3;0;61.4
2042;Nemanja Radonjić;21;0;27.8
2043;Ivan Radovanović;10;0;51.1
2044;Ionuț Radu;0;0;
2045;Ștefan Radu;30;0;54.1
2046;Boris Radunović;0;0;
2047;Rafael;9;0;59.3
2048;Rafael;0;0;
2049;Raffael;1;0;0.0
2050;Rafinha;5;0;0.0
2051;Rafinha;26;0;54.4
2052;Daniele Ragatzu;8;0;
2053;Baba Rahman;4;0;25.0
2054;Antonio Raillo;1;0;64.9
2055;Predrag Rajković;0;0;
2056;Ivan Rakitić;13;0;52.9
2057;Benito Raman;12;0;12.0
2058;Gastón Ramírez;33;0;40.9
2059;Sandro Ramírez;19;1;22.6
2060;Iván Ramis;1;0;71.4
2061;Adrián Ramos;2;0;34.3
2062;Sergio Ramos;3;1;59.5
2063;Aaron Ramsdale;0;0;
2064;Aaron Ramsey;13;0;63.6
2065;Darren Randolph;0;0;
2066;Luca Ranieri;3;0;66.7
2067;Andrea Ranocchia;0;0;84.4
2068;Tobias Raschl;0;0;
2069;Marcus Rashford;29;4;30.3
2070;Milot Rashica;73;0;15.9
2071;Giacomo Raspadori;1;0;0.0
2072;Raúl;0;0;33.3
2073;Ante Rebić;45;0;41.9
2074;Ante Rebić;1;0;0.0
2075;Arkadiusz Reca;68;0;48.5
2076;Recio;15;0;45.8
2077;Daishawn Redan;1;0;
2078;Nathan Redmond;48;0;26.0
2079;Fabian Reese;3;0;37.5
2080;Vasco Regini;0;0;60.0
2081;Vasco Regini;0;0;100.0
2082;Sergio Reguilón;98;0;55.3
2083;Ken Reichel;12;0;50.0
2084;Manolo Reina;0;0;
2085;Pepe Reina;0;0;
2086;Pepe Reina;0;0;
2087;Jeff Reine-Adélaïde;0;0;100.0
2088;Jeff Reine-Adélaïde;10;0;28.6
2089;Karim Rekik;4;0;67.4
2090;Álex Remiro;0;0;
2091;Loïc Rémy;5;0;48.3
2092;Panagiotis Retsos;0;0;100.0
2093;Marco Reus;27;0;13.9
2094;Elvis Rexhbeçaj;11;0;37.5
2095;Gio Reyna;5;0;16.7
2096;Baptiste Reynet;0;0;100.0
2097;Nico Ribaudo;3;0;14.3
2098;Franck Ribéry;19;0;19.0
2099;Davide Riccardi;0;0;0.0
2100;Declan Rice;22;0;60.7
2101;Chris Richards;0;0;
2102;Richarlison;35;0;35.1
2103;Marco Richter;38;0;39.0
2104;Diego Rico;77;0;59.7
2105;Sergio Rico;0;0;
2106;Jaïro Riedewald;6;0;75.0
2107;Emiliano Rigoni;22;0;35.7
2108;Tomás Rincón;23;0;67.0
2109;Luis Rioja;36;0;33.3
2110;Renaud Ripart;22;0;40.6
2111;Rodrigo Riquelme;1;0;0.0
2112;Andrea Rispoli;68;0;63.9
2113;Marcel Risse;6;0;
2114;Mihailo Ristić;19;0;46.2
2115;Matt Ritchie;38;0;51.3
2116;Marlon Ritter;6;0;14.3
2117;Cristian Rivera;1;0;57.1
2118;Maxence Rivera;0;0;
2119;Rober;0;0;36.4
2120;Roberto;0;0;
2121;Roberto;0;0;
2122;Sergi Roberto;33;0;47.8
2123;Patrick Roberts;0;0;
2124;Andrew Robertson;130;0;43.9
2125;Callum Robinson;12;0;12.5
2126;Jack Robinson;7;0;65.0
2127;Joel Robles;0;0;
2128;Marc Roca;21;0;43.8
2129;Rubén Rochina;36;1;48.7
2130;Sebastian Rode;9;0;37.0
2131;Rodri;4;0;67.6
2132;Rodrigo;30;1;41.3
2133;Kévin Rodrigues;74;0;30.4
2134;Kévin Rodrigues;0;0;100.0
2135;Óscar Rodríguez Arnaiz;46;0;29.4
2136;Ángel Rodríguez;19;0;22.9
2137;Dani Rodríguez;41;3;35.9
2138;Guido Rodríguez;2;0;61.3
2139;James Rodríguez;18;0;40.0
2140;Jay Rodriguez;12;0;34.7
2141;Mario Rodriguez;0;0;
2142;Ricardo Rodríguez;8;0;75.0
2143;Rodrygo;35;0;31.3
2144;Jack Rodwell;0;0;
2145;Marko Rog;16;0;56.8
2146;Agustín Rogel;0;0;58.3
2147;Rogério;30;0;37.5
2148;Marcos Rojo;2;0;75.0
2149;Filippo Romagna;0;0;55.8
2150;Alessio Romagnoli;0;0;65.4
2151;Alaixys Romao;5;0;40.3
2152;Cristian Romero;5;1;66.1
2153;Luka Romero;0;0;
2154;Oriol Romeu;6;0;56.2
2155;Rômulo;31;0;33.3
2156;Rômulo;0;0;
2157;Cristiano Ronaldo;33;2;49.3
2158;Facundo Roncaglia;11;0;55.0
2159;Valentin Rongier;6;0;52.2
2160;Valentin Rongier;4;0;50.0
2161;Marten de Roon;14;0;54.5
2162;Roberto Rosales;55;0;36.4
