;Player;TacklesWon;TklDribbling;Blocks;SuccPressRatio
0;Patrick van Aanholt;32;22;57;27.7
1;Max Aarons;36;21;100;27.1
2;Yunis Abdelhamid;37;14;43;37.1
3;Suleiman Abdullahi;1;1;3;36.0
4;Mehdi Abeid;41;24;18;27.3
5;Charles Abi;8;3;1;29.3
6;David Abraham;22;16;32;37.5
7;Tammy Abraham;10;4;23;30.2
8;Amir Abrashi;13;7;19;25.0
9;Francesco Acerbi;33;13;61;35.9
10;Che Adams;6;0;10;25.1
11;Tyler Adams;12;9;22;30.9
12;Sargis Adamyan;4;4;5;21.5
13;Antonio Adán;0;0;0;
14;Bobby Adekanye;3;1;0;16.7
15;Claud Adjapong;3;0;5;24.0
16;Amine Adli;0;0;0;23.5
17;Yacine Adli;18;10;11;26.2
18;Adrián;0;0;0;0.0
19;Aritz Aduriz;1;0;0;25.0
20;Lumor Agbenyenu;23;18;37;29.3
21;Martin Agirregabiria;22;25;39;24.2
22;Lucien Agoume;3;1;3;13.3
23;Kevin Agudelo;1;0;1;27.3
24;Kevin Agudelo;18;10;12;21.2
25;Nayef Aguerd;11;6;21;26.4
26;Sergio Agüero;5;1;15;25.2
27;Ruben Aguilar;28;18;11;35.0
28;Emmanuel Agyemang-Badu;1;0;4;13.3
29;Jean-Eudes Aholou;19;4;8;38.5
30;Joseph Aidoo;26;8;42;35.5
31;Ola Aina;28;24;70;29.0
32;Youssef Aït Bennasser;7;2;12;29.3
33;Rayan Aït Nouri;18;6;32;37.1
34;Albian Ajeti;0;0;0;4.8
35;Ludovic Ajorque;14;3;11;26.8
36;Manuel Akanji;23;17;35;38.6
37;Marley Aké;2;1;0;26.7
38;Nathan Aké;11;7;59;29.7
39;Chadrac Akolo;13;3;8;30.7
40;Kevin Akpoguma;11;15;31;33.1
41;David Alaba;17;10;40;38.5
42;Sofiane Alakouch;30;25;23;31.2
43;Lucas Alario;2;3;9;27.6
44;Jordi Alba;14;8;40;29.4
45;Luis Alberto;34;22;43;29.8
46;Raúl Albiol;33;18;40;30.6
47;Marc Albrighton;11;7;18;34.0
48;Paco Alcácer;2;1;10;29.5
49;Paco Alcácer;2;1;3;25.0
50;Thiago Alcántara;38;14;21;34.6
51;Rubén Alcaraz;36;23;57;29.3
52;Toby Alderweireld;24;14;69;32.2
53;Haitam Aleesami;28;20;55;28.1
54;Álex Alegría;0;0;1;28.6
55;Carles Aleñá;1;1;2;15.8
56;Carles Aleñá;11;7;9;19.0
57;Rúnar Alex Rúnarsson;0;0;0;0.0
58;Trent Alexander-Arnold;25;34;53;32.0
59;Enrico Alfonso;0;0;0;
60;Rachid Alioui;11;4;4;22.5
61;Alisson;0;0;0;20.0
62;Allan;36;17;26;25.5
63;Dele Alli;29;8;53;28.2
64;Miguel Almirón;36;13;44;23.9
65;Marcos Alonso;19;5;30;40.9
66;Mickaël Alphonse;19;16;38;26.7
67;Sergio Álvarez;20;9;25;30.2
68;Sergio Álvarez;0;0;0;
69;Yeray Álvarez;25;13;58;35.6
70;Bruno Alves;11;9;40;28.5
71;Steven Alzate;23;10;26;32.8
72;Ibrahim Amadou;7;3;8;24.3
73;Ibrahim Amadou;9;3;7;26.1
74;Romain Amalfitano;22;14;25;28.1
75;Amath;0;0;1;27.8
76;Jordan Amavi;28;31;53;30.7
77;Thierry Ambrose;5;1;5;30.3
78;Kelvin Amian;15;9;25;23.4
79;Nadiem Amiri;13;4;28;34.5
80;Ethan Ampadu;3;1;2;53.3
81;Opoku Ampomah;6;3;4;23.3
82;Sofyan Amrabat;42;20;43;28.8
83;Joachim Andersen;10;6;22;31.8
84;Djavan Anderson;1;0;5;20.8
85;Felipe Anderson;30;11;21;28.1
86;Sebastian Andersson;11;8;31;24.7
87;Florin Andone;2;0;1;14.3
88;Benjamin André;63;37;45;32.0
89;Lorenzo Andrenacci;0;0;0;50.0
90;Robert Andrich;46;27;39;24.7
91;Victorien Angban;16;14;15;25.5
92;Miguel Ángel Guerrero;1;0;5;21.7
93;Miguel Ángel Moyá;0;0;0;50.0
94;José Ángel;31;25;40;33.1
95;Angeliño;5;5;4;38.3
96;Angeliño;8;7;35;39.4
97;Faustino Anjorin;0;0;1;50.0
98;Peter Ankersen;5;2;29;22.5
99;Cristian Ansaldi;27;14;28;33.9
100;Janis Antiste;0;0;0;0.0
101;Michail Antonio;10;2;26;23.1
102;Antoñito;16;12;24;32.7
103;Mirko Antonucci;2;2;2;26.1
104;Vitorino Antunes;0;0;1;50.0
105;Christopher Antwi-Adjei;20;9;46;25.2
106;Anuar;4;1;6;18.9
107;Houssem Aouar;19;3;19;25.8
108;Adil Aouchiche;2;0;3;24.1
109;Dennis Appiah;32;19;20;32.0
110;Mauro Arambarri;49;21;69;25.8
111;Guilherme Arana;2;3;2;29.2
112;Charles Aránguiz;31;28;38;37.1
113;Luiz Araújo;9;6;16;28.6
114;Néstor Araujo;27;15;43;32.7
115;Ronald Araújo;2;3;9;30.8
116;Anaitz Arbilla;20;12;38;35.2
117;Alphonse Areola;0;0;0;
118;Alphonse Areola;0;0;0;
119;Santiago Arias;17;11;28;37.9
120;Nicolò Armini;0;1;0;20.0
121;Stuart Armstrong;25;13;24;31.6
122;José Arnaiz;3;0;13;26.2
123;José Arnaiz;3;1;7;22.4
124;Maximilian Arnold;35;22;37;32.0
125;Kepa Arrizabalaga;0;0;0;33.3
126;Kwadwo Asamoah;5;6;9;26.0
127;Santiago Ascacíbar;22;8;22;32.0
128;Sergio Asenjo;0;0;0;100.0
129;Marco Asensio;4;1;2;32.4
130;Kristoffer Askildsen;1;2;1;8.3
131;Iago Aspas;21;12;24;27.2
132;Roger Assalé;1;0;6;25.7
133;Miguel Atienza;1;1;2;26.7
134;Christian Atsu;9;4;28;19.3
135;Youcef Attal;17;15;24;27.2
136;Pierre-Emerick Aubameyang;24;12;59;22.7
137;Emil Audero;0;0;0;0.0
138;Tommaso Augello;13;5;19;17.5
139;Jean-Kévin Augustin;0;0;2;33.3
140;Ludwig Augustinsson;18;13;23;34.1
141;Serge Aurier;55;32;58;29.4
142;Mathias Autret;11;4;24;22.5
143;Ezequiel Ávila;16;5;17;26.9
144;Javier Avilés;3;4;4;21.2
145;Chidozie Awaziem;26;12;38;34.8
146;Taiwo Awoniyi;2;2;7;29.1
147;Florian Ayé;13;6;34;20.3
148;Jordan Ayew;29;15;35;21.5
149;Kaan Ayhan;33;18;34;37.6
150;Ramon Azeez;14;4;17;24.8
151;César Azpilicueta;61;37;81;32.7
152;Ludovic Baal;21;12;22;34.8
153;Iddrisu Baba;45;17;34;32.4
154;Khouma Babacar;9;2;19;16.2
155;Carlos Bacca;1;1;5;25.0
156;Milan Badelj;26;11;35;27.4
157;Matthias Bader;1;1;0;100.0
158;Bastian Badu;0;0;0;0.0
159;Alejandro Baena;0;0;0;0.0
160;Stéphane Bahoken;4;0;4;19.0
161;Daniel Baier;23;12;33;23.0
162;Leon Bailey;4;4;10;26.9
163;Eric Bailly;0;0;3;23.5
164;Dénys Bain;19;7;22;33.3
165;Leighton Baines;6;2;11;27.5
166;Stefan Bajic;0;0;0;
167;Tiemoué Bakayoko;49;21;25;29.7
168;Lewis Baker;4;2;8;23.7
169;Mitchel Bakker;3;0;1;69.2
170;Ridle Baku;35;20;73;28.3
171;Fabián Balbuena;11;6;27;34.5
172;Keita Baldé;8;1;9;30.3
173;George Baldock;45;24;63;27.9
174;Gareth Bale;7;4;16;28.6
175;Mikel Balenziaga;5;5;17;27.7
176;Leonardo Balerdi;1;2;0;16.7
177;Marco Ballarini;0;0;0;0.0
178;Fodé Ballo-Touré;24;15;29;32.9
179;Florent Balmont;9;5;6;28.3
180;Mario Balotelli;2;0;10;18.3
181;Abdoulaye Bamba;6;7;9;22.6
182;Jonathan Bamba;10;7;31;27.4
183;Éver Banega;30;23;20;27.0
184;Mattia Bani;33;18;46;33.2
185;Antonín Barák;1;0;6;19.0
186;Antonín Barák;18;11;30;26.8
187;Federico Barba;8;7;13;31.0
188;Danilo Barbosa;15;14;28;30.4
189;Melvin Bard;0;0;0;60.0
190;Enis Bardhi;27;8;25;23.0
191;Phil Bardsley;33;18;43;27.8
192;Nicolò Barella;31;11;33;27.1
193;Philipp Bargfrede;11;8;7;27.3
194;Antonino Barillà;33;13;41;23.6
195;Kike Barja;1;1;5;20.8
196;Ross Barkley;11;4;11;28.6
197;Aymen Barkok;0;0;7;20.0
198;Ashley Barnes;4;2;17;22.9
199;Harvey Barnes;12;7;23;26.2
200;Antonio Barragán;1;1;9;23.4
201;Antonio Barreca;3;2;23;23.6
202;Leandro Barreiro Martins;25;10;25;28.4
203;Ander Barrenetxea;6;3;5;30.5
204;Édgar Barreto;2;3;1;31.6
205;Musa Barrow;9;5;19;25.3
206;Musa Barrow;1;0;3;21.7
207;Fin Bartels;4;6;3;19.5
208;Marc Bartra;37;16;59;33.0
209;Daniele Baselli;32;12;32;26.4
210;Chris Basham;50;32;57;32.4
211;Toma Bašić;21;14;16;29.6
212;Thomas Basila;1;4;3;42.9
213;Gil Bastião Dias;10;5;4;23.2
214;Gil Bastião Dias;33;21;25;30.9
215;Borja Bastón;0;0;1;10.0
216;Alessandro Bastoni;21;16;34;27.2
217;Bastos;10;4;17;29.2
218;Oliver Batista-Meier;0;0;0;0.0
219;Michy Batshuayi;1;0;4;23.6
220;Cristian Battocchio;25;9;18;25.5
221;Oliver Baumann;0;0;1;0.0
222;Julian Baumgartlinger;29;13;49;35.0
223;Christoph Baumgartner;21;9;31;28.0
224;Noah Joel Sarenren Bazee;2;1;5;22.7
225;Ihlas Bebou;18;8;28;25.7
226;Rodrigo Becão;45;28;50;31.2
227;Sheraldo Becker;2;1;3;23.8
228;Timo Becker;5;5;5;31.8
229;Jan Bednarek;38;32;61;31.8
230;Asmir Begović;0;0;0;
231;Valon Behrami;26;8;35;28.0
232;Maximilian Beier;3;1;0;37.8
233;Gaëtan Belaud;8;4;15;19.2
234;Ishak Belfodil;1;0;2;30.8
235;Haris Belkebla;42;11;39;28.2
236;Raoul Bellanova;1;0;0;27.3
237;Raoul Bellanova;0;0;0;66.7
238;Karim Bellarabi;11;4;18;33.3
239;Jean-Ricner Bellegarde;27;7;20;34.3
240;Héctor Bellerín;16;9;28;25.1
241;Andrea Belotti;26;6;26;22.7
242;Fran Beltrán;24;7;19;30.7
243;Sami Ben Amar;0;0;1;60.0
244;Hatem Ben Arfa;0;0;1;21.6
245;Wissam Ben Yedder;15;6;19;27.2
246;Marco Benassi;10;10;19;22.1
247;Cristian Benavente;8;3;2;27.6
248;Lars Bender;32;16;43;35.7
249;Sven Bender;44;27;60;40.8
250;Darío Benedetto;14;5;19;25.0
251;László Bénes;9;6;16;30.2
252;Walter Benítez;0;0;0;25.0
253;Loris Benito;29;19;32;31.4
254;Bilal Benkhedim;5;2;1;38.9
255;Ismaël Bennacer;60;27;39;30.0
256;Ryan Bennett;3;2;15;24.6
257;Ryan Bennett;2;4;3;20.0
258;Keanen Bennetts;0;0;0;0.0
259;Yassine Benrahou;4;1;1;30.4
260;Yassine Benrahou;5;3;7;35.3
261;Ramy Bensebaini;17;14;51;26.8
262;Nabil Bentaleb;23;9;14;33.9
263;Rodrigo Bentancur;49;28;58;27.8
264;Christian Benteke;5;1;14;27.5
265;Romario Benzar;2;2;1;20.0
266;Karim Benzema;13;7;16;26.0
267;Yassine Benzia;2;1;3;15.4
268;Domenico Berardi;23;13;47;22.6
269;Yuri Berchiche;31;24;75;33.1
270;Álex Berenguer;12;9;34;22.4
271;Bartosz Bereszyński;33;28;72;28.8
272;Jóhann Berg Guðmundsson;3;2;10;18.1
273;Markel Bergara;0;0;1;45.5
274;Sander Berge;17;6;28;25.7
275;Steven Bergwijn;4;2;11;29.1
276;Robert Berić;2;2;3;29.2
277;Etrit Berisha;0;1;0;12.5
278;Valon Berisha;15;7;16;35.4
279;Valon Berisha;0;1;0;14.3
280;Sergio Bermejo;0;0;0;50.0
281;Bernard;14;6;30;25.5
282;Federico Bernardeschi;7;4;22;23.3
283;Bernardo;16;12;16;34.1
284;Paul Bernardoni;0;0;0;0.0
285;Juan Bernat;21;17;31;32.8
286;Dimitry Bertaud;1;1;0;
287;Andrea Bertolacci;5;1;9;31.7
288;Ryan Bertrand;28;19;52;36.9
289;Muhamed Bešić;6;2;4;23.9
290;Louis Beyer;4;1;4;33.3
291;Ermin Bičakčić;6;5;24;34.8
292;Pedro Bigas;14;8;28;33.6
293;Lucas Biglia;8;5;14;23.4
294;El Bilal Touré;3;0;8;28.8
295;Philip Billing;46;17;88;23.7
296;Cristiano Biraghi;14;10;51;23.0
297;Davide Biraschi;31;13;39;34.0
298;Valter Birsa;8;6;9;27.4
299;Dimitri Bisoli;48;26;71;26.7
300;Yves Bissouma;36;18;28;29.2
301;Leonardo Bittencourt;0;0;0;0.0
302;Leonardo Bittencourt;34;9;32;23.1
303;Birkir Bjarnason;5;2;10;14.8
304;Rubén Blanco;0;0;0;50.0
305;Ludovic Blas;15;6;31;21.0
306;Pablo de Blasis;30;25;33;28.9
307;Alejandro Blesa;0;0;1;60.0
308;Alexis Blin;43;20;36;26.1
309;Jérôme Boateng;13;8;24;40.2
310;Kevin-Prince Boateng;2;1;5;17.6
311;Antonin Bobichon;7;4;17;24.5
312;Antonin Bobichon;2;2;1;34.2
313;Salvatore Bocchetti;2;0;7;25.0
314;Mathieu Bodmer;0;0;1;21.4
315;Adam Bodzek;28;16;46;32.7
316;Jean-Paul Boëtius;45;20;51;25.3
317;Sacha Boey;5;6;2;22.5
318;Jeremie Boga;17;9;29;33.5
319;Melayro Bogarde;2;2;1;45.5
320;Quentin Boisgard;23;11;15;31.0
321;Willy Boly;40;23;50;37.3
322;Giacomo Bonaventura;14;7;15;25.8
323;Federico Bonazzoli;6;1;4;20.1
324;Gaëtan Bong;0;0;2;58.3
325;Kevin Bonifazi;5;4;3;29.2
326;Kevin Bonifazi;13;10;28;37.4
327;Federico Bonini;0;0;0;0.0
328;Leonardo Bonucci;16;12;58;34.8
329;Fabio Borini;4;0;10;26.2
330;Fabio Borini;2;0;3;30.8
331;Dennis Borkowski;0;0;0;0.0
332;Robin Bormuth;0;2;6;33.3
333;Sebastiaan Bornauw;32;14;44;34.8
334;Brandon Borrello;4;2;7;18.2
335;Gabriel Boschilia;1;0;2;29.7
336;Denis Bouanga;35;22;34;25.1
337;Hicham Boudaoui;8;8;10;24.1
338;Ryad Boudebouz;17;8;17;28.3
339;Sofiane Boufal;12;3;17;32.6
340;Nassim Boujellab;9;4;10;29.4
341;Farid Boulaya;12;6;11;22.7
342;Yassine Bounou;0;0;0;
343;Mehdi Bourabia;23;10;20;40.7
344;Benjamin Bourigeaud;27;17;46;25.8
345;Bilal Boutobba;0;0;0;50.0
346;Jarrod Bowen;13;5;15;23.0
347;Dedryck Boyata;20;8;44;32.5
348;John Boye;25;16;46;37.8
349;Can Bozdogan;7;1;1;35.1
350;Domagoj Bradarić;14;13;26;28.2
351;Filip Bradarić;13;3;17;34.8
352;Robbie Brady;5;2;14;22.2
353;Martin Braithwaite;1;0;1;33.3
354;Martin Braithwaite;9;3;21;23.1
355;Federico Brancolini;0;0;0;
356;Brandon;2;0;5;17.4
357;Julian Brandt;35;21;43;31.3
358;Jarrad Branthwaite;7;1;6;48.6
359;Darko Brašanac;27;10;21;28.4
360;Claudio Bravo;0;0;0;
361;Josip Brekalo;15;5;32;27.0
362;Gleison Bremer;40;22;68;31.2
363;Marco Brescianini;2;0;0;40.0
364;Anthony Briançon;15;12;40;36.0
365;Jimmy Briand;5;3;11;27.9
366;Yan Brice Eteki;19;6;24;23.4
367;Armando Broja;0;0;0;0.0
368;Dylan Bronn;7;5;13;43.4
369;David Brooks;3;0;7;19.6
370;John Brooks;19;21;43;33.2
371;Daniel Brosinski;14;16;41;29.7
372;Josh Brownhill;8;1;10;27.9
373;Marcelo Brozović;56;29;50;25.0
374;Gastón Brugman;36;12;35;28.1
375;Jeffrey Bruma;3;5;13;30.1
376;Jeffrey Bruma;7;1;18;28.4
377;Jacob Bruun Larsen;4;2;5;27.5
378;Jacob Bruun Larsen;0;0;0;20.0
379;Bryan;10;3;10;29.5
380;Bryan;1;0;0;22.2
381;Lucas Buadés;2;0;1;32.8
382;Ante Budimir;21;3;25;23.5
383;Emi Buendía;58;26;69;26.2
384;Gianluigi Buffon;0;0;0;0.0
385;Marius Bülter;20;10;57;26.6
386;Esteban Burgos;9;7;23;36.0
387;Guido Burgstaller;6;2;16;24.4
388;Burgui;0;0;0;40.0
389;Jonathan Burkardt;5;4;6;26.2
390;Oliver Burke;5;9;25;20.7
391;Roman Bürki;0;0;1;40.0
392;Dan Burn;36;24;67;35.3
393;Patrick Burner;23;11;26;26.2
394;Sergio Busquets;63;32;52;29.7
395;Unai Bustinza;47;30;45;35.0
396;Ludovic Butelle;0;0;1;22.2
397;Marcin Bułka;0;0;0;
398;Sam Byram;23;24;50;31.4
399;Erick Cabaco;2;1;2;25.0
400;Erick Cabaco;10;4;15;41.2
401;Willy Caballero;0;0;0;
402;Yohan Cabaye;26;12;12;30.9
403;Manuel Cabit;3;3;5;23.9
404;Ariday Cabrera;1;0;2;20.0
405;Leandro Cabrera;2;2;22;38.3
406;Leandro Cabrera;17;14;22;37.9
407;Fabrizio Cacciatore;5;3;31;27.9
408;Martín Cáceres;36;11;43;32.7
409;Anthony Caci;23;13;27;39.7
410;Jhonder Cádiz;10;2;6;31.5
411;Mathieu Cafaro;9;5;10;17.7
412;Jonathan Cafu;4;3;2;22.9
413;Gary Cahill;12;6;45;33.0
414;Felipe Caicedo;24;2;6;27.2
415;Arturo Calabresi;42;34;50;36.0
416;Davide Calabria;20;20;42;26.1
417;Riccardo Calafiori;0;0;0;0.0
418;Mattia Caldara;14;5;16;36.1
419;Marco Calderoni;30;22;60;25.1
420;Fernando Calero;8;6;18;28.4
421;Duje Ćaleta-Car;19;19;38;31.3
422;Hakan Çalhanoğlu;34;10;33;29.3
423;Daniel Caligiuri;31;34;84;32.2
424;José Callejón;7;6;30;23.0
425;Jonathan Calleri;9;5;14;29.2
426;Dominic Calvert-Lewin;11;3;22;27.6
427;Mahdi Camara;24;12;24;23.7
428;Souleymane Camara;0;0;0;24.2
429;Víctor Camarasa;0;0;0;
430;Víctor Camarasa;14;6;16;25.6
431;Eduardo Camavinga;58;27;36;32.6
432;Sergio Camello;1;0;0;0.0
433;José Campaña;25;18;51;26.0
434;Xisco Campos;5;3;10;34.9
435;Víctor Campuzano;13;1;5;24.7
436;Emre Can;18;13;16;38.8
437;Emre Can;4;4;9;27.6
438;Sergio Canales;25;8;44;22.4
439;João Cancelo;26;18;12;33.9
440;Antonio Candreva;13;11;46;27.8
441;Gianmarco Cangiano;1;0;0;40.0
442;Todd Cantwell;29;19;58;26.0
443;Ander Capa;32;17;56;25.8
444;Pierrick Capelle;35;17;26;23.5
445;Étienne Capoue;55;35;53;26.0
446;Gianluca Caprari;8;3;5;24.0
447;Gianluca Caprari;4;2;10;27.7
448;Francesco Caputo;5;0;17;26.7
449;Maxence Caqueret;11;6;17;28.3
450;Andrea Carboni;2;2;9;13.5
451;Irvin Cardona;11;7;15;28.4
452;Marc Cardona;2;0;7;31.3
453;Diego Carlos;34;16;57;40.1
454;Lionel Carole;8;10;16;28.6
455;Yannick Carrasco;7;5;11;25.7
456;Daniel Carriço;9;3;10;29.8
457;Guido Carrillo;10;2;14;25.5
458;Andy Carroll;1;2;7;31.7
459;Dani Carvajal;53;19;71;29.9
460;Matis Carvalho;0;0;0;
461;William Carvalho;7;4;13;26.7
462;Casemiro;75;38;83;36.2
463;Moreto Cassamã;15;7;7;41.3
464;Francesco Cassata;13;7;20;29.5
465;Timothy Castagne;23;18;49;28.9
466;Koen Casteels;0;0;0;33.3
467;Jean-Charles Castelletto;12;10;41;36.3
468;Samu Castillejo;18;9;37;26.6
469;Jonny Castro;61;34;79;29.8
470;Lucas Castro;6;5;6;30.8
471;Lucas Castro;8;7;7;26.2
472;Gaetano Castrovilli;46;14;53;26.8
473;Danilo Cataldi;14;6;8;24.3
474;Craig Cathcart;26;10;35;34.9
475;Edinson Cavani;4;1;7;21.1
476;Santi Cazorla;28;18;35;27.5
477;Dani Ceballos;28;17;29;27.0
478;Federico Ceccherini;10;6;12;44.4
479;Christian Celesia;0;0;0;
480;Zeki Çelik;34;31;37;30.2
481;Fabien Centonze;53;33;61;26.1
482;Luca Ceppitelli;12;5;30;26.0
483;Alberto Cerri;1;1;1;19.1
484;Alberto Cerri;3;2;0;26.5
485;Julian Chabot;10;3;8;31.3
486;Florian Chabrolle;0;0;0;37.5
487;Fouad Chafik;23;17;21;26.9
488;Sofian Chakla;0;0;1;45.5
489;Nathaniel Chalobah;19;9;14;28.6
490;Calum Chambers;18;9;21;35.7
491;Jhon Chancellor;19;12;55;27.5
492;Timothy Chandler;10;7;22;26.2
493;Kwon Chang-hoon;6;1;8;26.1
494;Gaëtan Charbonnier;22;9;29;24.1
495;Brendan Chardonnet;8;3;16;35.8
496;Charles;6;2;12;22.8
497;Xavier Chavalerin;52;24;39;29.7
498;Pablo Chavarría;1;0;3;14.5
499;Aurélien Chedjou;27;12;33;36.1
500;Pape Cheikh Diop;6;3;3;26.6
501;Chema;2;0;3;52.2
502;Rayan Cherki;2;2;2;34.5
503;Denis Cheryshev;7;4;24;21.4
504;Giorgio Chiellini;2;1;5;61.1
505;Federico Chiesa;30;10;27;22.9
506;Ben Chilwell;26;19;58;27.9
507;Vlad Chiricheș;12;5;17;27.1
508;Tahith Chong;0;0;0;26.7
509;Joris Chotard;21;15;16;31.7
510;Hamza Choudhury;13;5;20;32.3
511;Mounir Chouiar;27;6;21;27.6
512;Andreas Christensen;20;11;22;36.5
513;Samuel Chukwueze;15;7;29;28.0
514;Darko Churlinov;0;0;0;0.0
515;Churripi;0;0;0;
516;Luca Cigarini;26;13;43;31.3
517;Per Ciljan Skjelbred;31;11;23;33.6
518;Jasper Cillessen;0;0;0;100.0
519;Thiago Cionek;33;22;49;27.5
520;Ibrahim Cissé;1;0;1;50.0
521;Ibrahim Cissé;0;0;2;27.3
522;Andrea Cistana;21;16;52;28.6
523;Ciaran Clark;12;3;25;36.1
524;Leon Clarke;0;0;0;29.4
525;Alexis Claude-Maurice;18;10;22;24.9
526;Christian Clemens;1;0;1;100.0
527;Óscar Clemente;0;0;1;0.0
528;Yannis Clementia;0;0;0;
529;Denilho Cleonise;0;0;0;22.2
530;Carlos Clerc;19;12;48;29.3
531;Tom Cleverley;17;11;20;29.0
532;Conor Coady;22;19;37;33.7
533;Marcus Coco;1;0;0;50.0
534;Renaud Cohade;16;11;17;25.3
535;Coke;15;9;16;30.8
536;Séamus Coleman;31;21;43;36.1
537;Álex Collado;0;0;0;100.0
538;Ebrima Colley;1;1;2;26.7
539;Omar Colley;34;14;51;34.1
540;Jamilu Collins;41;34;100;33.2
541;Simone Colombi;0;0;0;
542;Lorenzo Colombo;0;0;0;25.0
543;Racine Coly;9;8;9;37.2
544;Kingsley Coman;15;11;17;32.1
545;Daniel Congré;23;16;29;31.4
546;Aaron Connolly;8;3;8;29.5
547;Andrea Consigli;0;0;0;0.0
548;Andrea Conti;31;18;36;23.9
549;Lewis Cook;16;8;20;18.9
550;Steve Cook;13;9;47;33.5
551;Francis Coquelin;24;11;30;27.8
552;Gabriele Corbo;1;0;2;28.6
553;Sébastien Corchia;0;1;12;29.4
554;Iñigo Córdoba;14;10;39;26.3
555;Jhon Córdoba;11;3;18;25.3
556;Sergio Córdova;3;1;3;15.3
557;Benjamin Corgnet;3;1;2;18.4
558;Jack Cork;27;11;53;28.4
559;Andreas Cornelius;6;2;6;26.0
560;Maxwel Cornet;14;17;20;31.1
561;Quentin Cornette;1;1;11;20.8
562;Ángel Correa;15;6;39;30.0
563;Joaquín Correa;11;3;8;26.6
564;Rober Correa;9;7;21;27.2
565;Thierry Correia;5;1;6;46.9
566;Antonio Cortés;3;0;2;29.3
567;Angelo da Costa Júnior;0;0;0;
568;Danny da Costa;21;10;27;29.6
569;Diego Costa;9;2;14;29.5
570;Douglas Costa;5;1;10;21.9
571;Jaume Costa;18;12;37;26.2
572;Nuno da Costa;6;3;12;23.8
573;David Costas;4;0;6;34.6
574;Benoît Costil;0;0;0;42.9
575;Kalifa Coulibaly;7;3;10;27.0
576;Senou Coulibaly;5;3;16;25.0
577;Yoann Court;32;20;23;24.1
578;Thibaut Courtois;0;0;0;0.0
579;Philippe Coutinho;25;4;14;39.1
580;Nicolas Cozza;4;0;13;20.8
581;Alessio Cragno;0;0;0;0.0
582;Aaron Cresswell;29;24;64;33.2
583;Domenico Criscito;44;27;53;31.9
584;Bryan Cristante;14;10;21;23.6
585;Sebastián Cristóforo;24;9;31;31.1
586;Sebastián Cristóforo;4;2;2;42.1
587;Juan Cuadrado;40;32;51;30.0
588;Cucho;11;4;20;23.6
589;Marc Cucurella;62;27;76;32.3
590;Iván Cuéllar;0;0;0;0.0
591;Jaume Cuéllar;1;0;1;28.6
592;Mickaël Cuisance;3;1;5;21.8
593;Matheus Cunha;9;4;17;25.4
594;Matheus Cunha;4;0;5;21.1
595;Felipe Curcio;0;0;0;100.0
596;Patrick Cutrone;4;1;1;27.4
597;Patrick Cutrone;6;0;9;21.9
598;Wylan Cyprien;16;7;14;27.4
599;Rafael Czichos;37;17;52;37.6
600;Lennart-Marten Czyborra;0;0;2;57.1
601;Marco D'Alessandro;9;3;12;28.7
602;Danilo D'Ambrosio;20;14;24;27.2
603;Felice D'Amico;1;1;0;20.0
604;Lucas Da Cunha;1;0;0;36.8
605;Jacopo Da Riva;0;0;0;0.0
606;Damien Da Silva;17;6;38;37.1
607;Bryan Dabo;14;4;17;28.3
608;Moanes Dabour;1;0;0;60.0
609;Moanes Dabour;7;4;12;26.3
610;Colin Dagba;4;3;12;29.9
611;Mahmoud Dahoud;7;5;9;30.2
612;Leon Dajaku;0;0;0;25.0
613;Felipe dal Belo;8;9;21;28.6
614;Christian Dalle Mura;0;0;0;
615;Diogo Dalot;2;2;1;50.0
616;Charlie Daniels;0;1;5;19.2
617;Danilo;17;14;22;32.3
618;Scott Dann;5;7;17;39.0
619;Kevin Danso;4;5;9;24.4
620;Dante;19;14;47;36.1
621;Andrea Danzi;0;0;0;0.0
622;Sergi Darder;25;12;33;24.3
623;Vladimír Darida;39;7;49;27.5
624;Matteo Darmian;39;33;73;26.6
625;Alphonso Davies;49;30;56;42.9
626;Ben Davies;13;5;43;29.4
627;Tom Davies;18;8;34;23.3
628;Keinan Davis;2;0;5;21.6
629;Paweł Dawidowicz;8;6;11;29.8
630;Craig Dawson;19;14;56;39.5
631;Kevin De Bruyne;28;11;31;31.9
632;Sebastien De Maio;15;7;44;31.9
633;Rodrigo De Paul;37;21;51;26.8
634;Mattia De Sciglio;5;6;12;33.3
635;Lorenzo De Silvestri;9;11;46;26.4
636;Lucas Deaux;34;19;25;35.5
637;Mathieu Debuchy;26;20;46;31.6
638;Troy Deeney;17;9;20;23.4
639;Grégoire Defrel;9;3;14;26.5
640;Alessandro Deiola;0;0;0;
641;Alessandro Deiola;12;10;15;29.6
642;Romain Del Castillo;19;8;16;23.3
643;Thomas Delaine;14;9;28;23.5
644;Thomas Delaney;16;6;16;32.3
645;Paul Delecroix;0;0;0;
646;Cristian Dell'Orco;16;10;20;31.4
647;Andy Delort;20;13;22;29.7
648;Fabian Delph;11;11;22;29.1
649;Moussa Dembélé;9;3;21;26.4
650;Ousmane Dembélé;0;0;4;17.2
651;Merih Demiral;7;3;7;29.4
652;Kerem Demirbay;22;8;27;36.1
653;Diego Demme;28;16;29;31.9
654;Diego Demme;13;9;8;28.4
655;Jason Denayer;16;7;42;36.8
656;Leander Dendoncker;40;23;53;28.6
657;Kevin Denkey;9;4;6;29.6
